Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
"DNN_(5,36,32)_AggClustering_nc:6_link:average_aff:l1","DNN_(5,36,32)",Agg_Clustering,6,0.44648588915768395
"DNN_(5,36,32)_AggClustering_nc:6_link:average_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,6,0.44648588915768395
"DNN_(5,36,32)_AggClustering_nc:8_link:average_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,8,0.4404561976190234
"DNN_(5,36,32)_AggClustering_nc:8_link:average_aff:l1","DNN_(5,36,32)",Agg_Clustering,8,0.4404561976190234
"DNN_(5,36,32)_AggClustering_nc:8_link:average_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,8,0.4256323233095262
"DNN_(5,36,32)_AggClustering_nc:8_link:average_aff:l2","DNN_(5,36,32)",Agg_Clustering,8,0.4256323233095262
"DNN_(5,36,32)_AggClustering_nc:6_link:average_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,6,0.4235652107076392
"DNN_(5,36,32)_AggClustering_nc:6_link:average_aff:l2","DNN_(5,36,32)",Agg_Clustering,6,0.4235652107076392
"DNN_(5,36,32)_CURE_nc:8","DNN_(5,36,32)",CURE,8,0.4212090586052062
"DNN_(5,36,32)_AggClustering_nc:10_link:average_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,10,0.4209323192037543
"DNN_(5,36,32)_AggClustering_nc:10_link:average_aff:l2","DNN_(5,36,32)",Agg_Clustering,10,0.4209323192037543
"DNN_(5,36,32)_CURE_nc:6","DNN_(5,36,32)",CURE,6,0.4068505041588024
"DNN_(5,36,32)_AggClustering_nc:12_link:average_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,12,0.3987921782791736
"DNN_(5,36,32)_AggClustering_nc:12_link:average_aff:l2","DNN_(5,36,32)",Agg_Clustering,12,0.3987921782791736
"DNN_(5,36,32)_KMeans_nc:6","DNN_(5,36,32)",KMeans,6,0.3927408988544293
"DNN_(5,36,32)_AggClustering_nc:6_link:complete_aff:l2","DNN_(5,36,32)",Agg_Clustering,6,0.3921202776470112
"DNN_(5,36,32)_AggClustering_nc:6_link:complete_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,6,0.3921202776470112
PCA-no-label_DBSCAN_metric:correlation_minPts:28,PCA-no-label,DBScan,14,0.38171741658252334
PCA-no-label_DBSCAN_metric:correlation_minPts:27,PCA-no-label,DBScan,14,0.3816924749914635
PCA-no-label_DBSCAN_metric:correlation_minPts:31,PCA-no-label,DBScan,14,0.3816265811250196
PCA-no-label_DBSCAN_metric:correlation_minPts:30,PCA-no-label,DBScan,14,0.3816265811250196
PCA-no-label_DBSCAN_metric:cosine_minPts:29,PCA-no-label,DBScan,14,0.3816079773919345
PCA-no-label_DBSCAN_metric:cosine_minPts:31,PCA-no-label,DBScan,14,0.3815330342248709
PCA-no-label_DBSCAN_metric:cosine_minPts:30,PCA-no-label,DBScan,14,0.3815330342248709
PCA-no-label_DBSCAN_metric:cosine_minPts:33,PCA-no-label,DBScan,14,0.3814983874972042
PCA-no-label_DBSCAN_metric:cosine_minPts:32,PCA-no-label,DBScan,14,0.3814983874972042
PCA-no-label_DBSCAN_metric:correlation_minPts:29,PCA-no-label,DBScan,14,0.3814417550123958
PCA-no-label_DBSCAN_metric:correlation_minPts:32,PCA-no-label,DBScan,14,0.38136142667648376
PCA-no-label_DBSCAN_metric:correlation_minPts:33,PCA-no-label,DBScan,14,0.38133920825410667
PCA-no-label_DBSCAN_metric:l1_minPts:29,PCA-no-label,DBScan,14,0.3811668884162685
PCA-no-label_DBSCAN_metric:l2_minPts:27,PCA-no-label,DBScan,14,0.3811615488554809
PCA-no-label_DBSCAN_metric:euclidean_minPts:27,PCA-no-label,DBScan,14,0.3811615488554809
PCA-no-label_DBSCAN_metric:l2_minPts:29,PCA-no-label,DBScan,14,0.3811417222504029
PCA-no-label_DBSCAN_metric:euclidean_minPts:29,PCA-no-label,DBScan,14,0.3811417222504029
PCA-no-label_DBSCAN_metric:l2_minPts:28,PCA-no-label,DBScan,14,0.38113196426846224
PCA-no-label_DBSCAN_metric:euclidean_minPts:28,PCA-no-label,DBScan,14,0.38113196426846224
PCA-no-label_DBSCAN_metric:l2_minPts:30,PCA-no-label,DBScan,14,0.3811310834439444
"DNN_(5,36,32)_AggClustering_nc:8_link:complete_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,8,0.380277805581962
"DNN_(5,36,32)_AggClustering_nc:8_link:complete_aff:l2","DNN_(5,36,32)",Agg_Clustering,8,0.380277805581962
