Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
"DNN_(5,36,32)_AggClustering_nc:6_link:average_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,6,average,manhattan,0.446485889157684
"DNN_(5,36,32)_AggClustering_nc:6_link:average_aff:l1","DNN_(5,36,32)",Agg_Clustering,6,average,l1,0.446485889157684
"DNN_(5,36,32)_AggClustering_nc:8_link:average_aff:l1","DNN_(5,36,32)",Agg_Clustering,8,average,l1,0.4404561976190234
"DNN_(5,36,32)_AggClustering_nc:8_link:average_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,8,average,manhattan,0.4404561976190234
"DNN_(5,36,32)_AggClustering_nc:8_link:average_aff:l2","DNN_(5,36,32)",Agg_Clustering,8,average,l2,0.4256323233095262
"DNN_(5,36,32)_AggClustering_nc:8_link:average_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,8,average,euclidean,0.4256323233095262
"DNN_(5,36,32)_AggClustering_nc:6_link:average_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,6,average,euclidean,0.42356521070763914
"DNN_(5,36,32)_AggClustering_nc:6_link:average_aff:l2","DNN_(5,36,32)",Agg_Clustering,6,average,l2,0.42356521070763914
"DNN_(5,36,32)_AggClustering_nc:10_link:average_aff:l2","DNN_(5,36,32)",Agg_Clustering,10,average,l2,0.4209323192037543
"DNN_(5,36,32)_AggClustering_nc:10_link:average_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,10,average,euclidean,0.4209323192037543
"DNN_(5,36,32)_AggClustering_nc:12_link:average_aff:l2","DNN_(5,36,32)",Agg_Clustering,12,average,l2,0.39879217827917357
"DNN_(5,36,32)_AggClustering_nc:12_link:average_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,12,average,euclidean,0.39879217827917357
"DNN_(5,36,32)_AggClustering_nc:6_link:complete_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,6,complete,euclidean,0.3921202776470112
"DNN_(5,36,32)_AggClustering_nc:6_link:complete_aff:l2","DNN_(5,36,32)",Agg_Clustering,6,complete,l2,0.3921202776470112
"DNN_(5,36,32)_AggClustering_nc:8_link:complete_aff:l2","DNN_(5,36,32)",Agg_Clustering,8,complete,l2,0.380277805581962
"DNN_(5,36,32)_AggClustering_nc:8_link:complete_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,8,complete,euclidean,0.380277805581962
"DNN_(5,36,32)_AggClustering_nc:14_link:average_aff:l2","DNN_(5,36,32)",Agg_Clustering,14,average,l2,0.3758160148268049
"DNN_(5,36,32)_AggClustering_nc:14_link:average_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,14,average,euclidean,0.3758160148268049
"DNN_(5,36,32)_AggClustering_nc:16_link:average_aff:l2","DNN_(5,36,32)",Agg_Clustering,16,average,l2,0.37545048391080604
"DNN_(5,36,32)_AggClustering_nc:16_link:average_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,16,average,euclidean,0.37545048391080604
"DNN_(5,36,32)_AggClustering_nc:6_link:average_aff:cosine","DNN_(5,36,32)",Agg_Clustering,6,average,cosine,0.3695695044700371
"DNN_(5,36,32)_AggClustering_nc:6_link:complete_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,6,complete,manhattan,0.3694258826168531
"DNN_(5,36,32)_AggClustering_nc:6_link:complete_aff:l1","DNN_(5,36,32)",Agg_Clustering,6,complete,l1,0.3694258826168531
"DNN_(5,36,32)_AggClustering_nc:18_link:average_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,18,average,euclidean,0.3665961888364209
"DNN_(5,36,32)_AggClustering_nc:18_link:average_aff:l2","DNN_(5,36,32)",Agg_Clustering,18,average,l2,0.3665961888364209
"DNN_(5,36,32)_AggClustering_nc:10_link:complete_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,10,complete,euclidean,0.36607779996081535
"DNN_(5,36,32)_AggClustering_nc:10_link:complete_aff:l2","DNN_(5,36,32)",Agg_Clustering,10,complete,l2,0.36607779996081535
"DNN_(5,36,32)_AggClustering_nc:6_link:ward_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,6,ward,euclidean,0.36239746456218114
"DNN_(5,36,32)_AggClustering_nc:20_link:average_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,20,average,euclidean,0.36140235018313666
"DNN_(5,36,32)_AggClustering_nc:20_link:average_aff:l2","DNN_(5,36,32)",Agg_Clustering,20,average,l2,0.36140235018313666
"DNN_(5,36,32)_AggClustering_nc:10_link:average_aff:l1","DNN_(5,36,32)",Agg_Clustering,10,average,l1,0.35954405408268564
"DNN_(5,36,32)_AggClustering_nc:10_link:average_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,10,average,manhattan,0.35954405408268564
"DNN_(5,36,32)_AggClustering_nc:12_link:average_aff:l1","DNN_(5,36,32)",Agg_Clustering,12,average,l1,0.35840103084862535
"DNN_(5,36,32)_AggClustering_nc:12_link:average_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,12,average,manhattan,0.35840103084862535
"DNN_(5,36,32)_AggClustering_nc:8_link:average_aff:cosine","DNN_(5,36,32)",Agg_Clustering,8,average,cosine,0.3413837707385402
"DNN_(5,36,32)_AggClustering_nc:10_link:average_aff:cosine","DNN_(5,36,32)",Agg_Clustering,10,average,cosine,0.33630909664181
"DNN_(5,36,32)_AggClustering_nc:14_link:average_aff:l1","DNN_(5,36,32)",Agg_Clustering,14,average,l1,0.32512878716376176
"DNN_(5,36,32)_AggClustering_nc:14_link:average_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,14,average,manhattan,0.32512878716376176
"DNN_(5,36,32)_AggClustering_nc:12_link:complete_aff:l2","DNN_(5,36,32)",Agg_Clustering,12,complete,l2,0.32200857966282626
"DNN_(5,36,32)_AggClustering_nc:12_link:complete_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,12,complete,euclidean,0.32200857966282626
"DNN_(5,36,32)_AggClustering_nc:8_link:complete_aff:l1","DNN_(5,36,32)",Agg_Clustering,8,complete,l1,0.31568193176054515
"DNN_(5,36,32)_AggClustering_nc:8_link:complete_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,8,complete,manhattan,0.31568193176054515
"DNN_(5,36,32)_AggClustering_nc:16_link:average_aff:l1","DNN_(5,36,32)",Agg_Clustering,16,average,l1,0.297027343738329
"DNN_(5,36,32)_AggClustering_nc:16_link:average_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,16,average,manhattan,0.297027343738329
"DNN_(5,36,32)_AggClustering_nc:18_link:average_aff:l1","DNN_(5,36,32)",Agg_Clustering,18,average,l1,0.29576330530481637
"DNN_(5,36,32)_AggClustering_nc:18_link:average_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,18,average,manhattan,0.29576330530481637
"DNN_(5,36,32)_AggClustering_nc:20_link:average_aff:l1","DNN_(5,36,32)",Agg_Clustering,20,average,l1,0.2902367724463172
"DNN_(5,36,32)_AggClustering_nc:20_link:average_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,20,average,manhattan,0.2902367724463172
"DNN_(5,36,32)_AggClustering_nc:8_link:ward_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,8,ward,euclidean,0.2849462732874811
"DNN_(5,36,32)_AggClustering_nc:12_link:average_aff:cosine","DNN_(5,36,32)",Agg_Clustering,12,average,cosine,0.2826733360543402
"DNN_(5,36,32)_AggClustering_nc:14_link:complete_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,14,complete,euclidean,0.2816711325955904
"DNN_(5,36,32)_AggClustering_nc:14_link:complete_aff:l2","DNN_(5,36,32)",Agg_Clustering,14,complete,l2,0.2816711325955904
"DNN_(5,36,32)_AggClustering_nc:8_link:single_aff:l1","DNN_(5,36,32)",Agg_Clustering,8,single,l1,0.27386549419611095
"DNN_(5,36,32)_AggClustering_nc:8_link:single_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,8,single,manhattan,0.27386549419611095
"DNN_(5,36,32)_AggClustering_nc:6_link:single_aff:l1","DNN_(5,36,32)",Agg_Clustering,6,single,l1,0.27260363707017277
"DNN_(5,36,32)_AggClustering_nc:6_link:single_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,6,single,manhattan,0.27260363707017277
"DNN_(5,36,32)_AggClustering_nc:8_link:single_aff:l2","DNN_(5,36,32)",Agg_Clustering,8,single,l2,0.27237566907857064
"DNN_(5,36,32)_AggClustering_nc:8_link:single_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,8,single,euclidean,0.27237566907857064
"DNN_(5,36,32)_AggClustering_nc:6_link:single_aff:l2","DNN_(5,36,32)",Agg_Clustering,6,single,l2,0.27195651541936827
"DNN_(5,36,32)_AggClustering_nc:6_link:single_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,6,single,euclidean,0.27195651541936827
"DNN_(5,36,32)_AggClustering_nc:10_link:complete_aff:l1","DNN_(5,36,32)",Agg_Clustering,10,complete,l1,0.26547969205090693
"DNN_(5,36,32)_AggClustering_nc:10_link:complete_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,10,complete,manhattan,0.26547969205090693
"DNN_(5,36,32)_AggClustering_nc:12_link:complete_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,12,complete,manhattan,0.2593674089573656
"DNN_(5,36,32)_AggClustering_nc:12_link:complete_aff:l1","DNN_(5,36,32)",Agg_Clustering,12,complete,l1,0.2593674089573656
"DNN_(5,36,32)_AggClustering_nc:10_link:ward_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,10,ward,euclidean,0.2557419454340685
"DNN_(5,36,32)_AggClustering_nc:16_link:complete_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,16,complete,euclidean,0.2535911161487929
"DNN_(5,36,32)_AggClustering_nc:16_link:complete_aff:l2","DNN_(5,36,32)",Agg_Clustering,16,complete,l2,0.2535911161487929
"DNN_(5,36,32)_AggClustering_nc:14_link:ward_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,14,ward,euclidean,0.252942712070037
"DNN_(5,36,32)_AggClustering_nc:12_link:ward_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,12,ward,euclidean,0.24998222998950057
"DNN_(5,36,32)_AggClustering_nc:14_link:average_aff:cosine","DNN_(5,36,32)",Agg_Clustering,14,average,cosine,0.24984667730521082
"DNN_(5,36,32)_AggClustering_nc:16_link:average_aff:cosine","DNN_(5,36,32)",Agg_Clustering,16,average,cosine,0.24570380680947215
"DNN_(5,36,32)_AggClustering_nc:18_link:complete_aff:l2","DNN_(5,36,32)",Agg_Clustering,18,complete,l2,0.24570023292416307
"DNN_(5,36,32)_AggClustering_nc:18_link:complete_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,18,complete,euclidean,0.24570023292416307
"DNN_(5,36,32)_AggClustering_nc:20_link:complete_aff:l2","DNN_(5,36,32)",Agg_Clustering,20,complete,l2,0.2265464146531707
"DNN_(5,36,32)_AggClustering_nc:20_link:complete_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,20,complete,euclidean,0.2265464146531707
"DNN_(5,36,32)_AggClustering_nc:18_link:average_aff:cosine","DNN_(5,36,32)",Agg_Clustering,18,average,cosine,0.225877891545419
"DNN_(5,36,32)_AggClustering_nc:6_link:complete_aff:cosine","DNN_(5,36,32)",Agg_Clustering,6,complete,cosine,0.21804950145917273
"DNN_(5,36,32)_AggClustering_nc:16_link:ward_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,16,ward,euclidean,0.21627781888127445
"DNN_(5,36,32)_AggClustering_nc:18_link:ward_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,18,ward,euclidean,0.2133504412689123
"DNN_(5,36,32)_AggClustering_nc:20_link:ward_aff:euclidean","DNN_(5,36,32)",Agg_Clustering,20,ward,euclidean,0.2116110842565301
"DNN_(5,36,32)_AggClustering_nc:14_link:complete_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,14,complete,manhattan,0.21084419117088682
"DNN_(5,36,32)_AggClustering_nc:14_link:complete_aff:l1","DNN_(5,36,32)",Agg_Clustering,14,complete,l1,0.21084419117088682
"DNN_(5,36,32)_AggClustering_nc:18_link:complete_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,18,complete,manhattan,0.2072536801631315
"DNN_(5,36,32)_AggClustering_nc:18_link:complete_aff:l1","DNN_(5,36,32)",Agg_Clustering,18,complete,l1,0.2072536801631315
"DNN_(5,36,32)_AggClustering_nc:16_link:complete_aff:l1","DNN_(5,36,32)",Agg_Clustering,16,complete,l1,0.20599738837238815
"DNN_(5,36,32)_AggClustering_nc:16_link:complete_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,16,complete,manhattan,0.20599738837238815
"DNN_(5,36,32)_AggClustering_nc:20_link:average_aff:cosine","DNN_(5,36,32)",Agg_Clustering,20,average,cosine,0.19977323922308798
"DNN_(5,36,32)_AggClustering_nc:8_link:complete_aff:cosine","DNN_(5,36,32)",Agg_Clustering,8,complete,cosine,0.19718872778517832
"DNN_(5,36,32)_AggClustering_nc:20_link:complete_aff:l1","DNN_(5,36,32)",Agg_Clustering,20,complete,l1,0.17419822447455996
"DNN_(5,36,32)_AggClustering_nc:20_link:complete_aff:manhattan","DNN_(5,36,32)",Agg_Clustering,20,complete,manhattan,0.17419822447455996
"DNN_(5,36,32)_AggClustering_nc:10_link:complete_aff:cosine","DNN_(5,36,32)",Agg_Clustering,10,complete,cosine,0.16365382874741952
"DNN_(5,36,32)_AggClustering_nc:12_link:complete_aff:cosine","DNN_(5,36,32)",Agg_Clustering,12,complete,cosine,0.15628416160283118
"DNN_(5,36,32)_AggClustering_nc:14_link:complete_aff:cosine","DNN_(5,36,32)",Agg_Clustering,14,complete,cosine,0.1314570988480846
"DNN_(5,36,32)_AggClustering_nc:16_link:complete_aff:cosine","DNN_(5,36,32)",Agg_Clustering,16,complete,cosine,0.11878091568026626
"DNN_(5,36,32)_AggClustering_nc:18_link:complete_aff:cosine","DNN_(5,36,32)",Agg_Clustering,18,complete,cosine,0.11086830801398545
