,Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
0,"DNN_(5,36,32)_CURE_nc:2","DNN_(5,36,32)",CURE,2,0.9074122968031703
1,"DNN_(5,36,32)_CURE_nc:4","DNN_(5,36,32)",CURE,4,0.5210010038696691
2,"DNN_(5,36,32)_CURE_nc:6","DNN_(5,36,32)",CURE,6,0.4620958312484997
3,"DNN_(5,36,32)_CURE_nc:8","DNN_(5,36,32)",CURE,8,0.4541276260087254
4,"DNN_(5,36,32)_CURE_nc:10","DNN_(5,36,32)",CURE,10,0.4429028721706109
5,"DNN_(5,36,32)_CURE_nc:12","DNN_(5,36,32)",CURE,12,0.38447946665256105
6,"DNN_(5,36,32)_CURE_nc:14","DNN_(5,36,32)",CURE,14,0.3610673570068997
7,"DNN_(5,36,32)_CURE_nc:16","DNN_(5,36,32)",CURE,16,0.36059644257334184
8,"DNN_(5,36,32)_CURE_nc:18","DNN_(5,36,32)",CURE,18,0.3506869237578051
9,"DNN_(5,36,32)_CURE_nc:20","DNN_(5,36,32)",CURE,20,0.34975026370939044
