Title,Embeddings,Algorithm,Num Clusters,Metric,MinPts,NumNoise,Silhouette Score
"DNN_(5,36,32)_DBSCAN_metric:euclidean_minPts:65","DNN_(5,36,32)",DBScan,1,euclidean,65,153,-1
"DNN_(5,36,32)_DBSCAN_metric:cosine_minPts:61","DNN_(5,36,32)",DBScan,1,cosine,61,74,-1
"DNN_(5,36,32)_DBSCAN_metric:l2_minPts:61","DNN_(5,36,32)",DBScan,1,l2,61,114,-1
"DNN_(5,36,32)_DBSCAN_metric:l2_minPts:68","DNN_(5,36,32)",DBScan,1,l2,68,134,-1
"DNN_(5,36,32)_DBSCAN_metric:l2_minPts:62","DNN_(5,36,32)",DBScan,1,l2,62,116,-1
"DNN_(5,36,32)_DBSCAN_metric:cosine_minPts:65","DNN_(5,36,32)",DBScan,1,cosine,65,69,-1
"DNN_(5,36,32)_DBSCAN_metric:cosine_minPts:60","DNN_(5,36,32)",DBScan,1,cosine,60,74,-1
"DNN_(5,36,32)_DBSCAN_metric:cosine_minPts:66","DNN_(5,36,32)",DBScan,1,cosine,66,69,-1
"DNN_(5,36,32)_DBSCAN_metric:cosine_minPts:63","DNN_(5,36,32)",DBScan,1,cosine,63,75,-1
"DNN_(5,36,32)_DBSCAN_metric:cosine_minPts:64","DNN_(5,36,32)",DBScan,1,cosine,64,69,-1
"DNN_(5,36,32)_DBSCAN_metric:cosine_minPts:69","DNN_(5,36,32)",DBScan,1,cosine,69,71,-1
"DNN_(5,36,32)_DBSCAN_metric:cosine_minPts:67","DNN_(5,36,32)",DBScan,1,cosine,67,69,-1
"DNN_(5,36,32)_DBSCAN_metric:cosine_minPts:68","DNN_(5,36,32)",DBScan,1,cosine,68,94,-1
"DNN_(5,36,32)_DBSCAN_metric:euclidean_minPts:60","DNN_(5,36,32)",DBScan,1,euclidean,60,226,-1
"DNN_(5,36,32)_DBSCAN_metric:cosine_minPts:62","DNN_(5,36,32)",DBScan,1,cosine,62,74,-1
"DNN_(5,36,32)_DBSCAN_metric:correlation_minPts:65","DNN_(5,36,32)",DBScan,1,correlation,65,128,-1
"DNN_(5,36,32)_DBSCAN_metric:correlation_minPts:60","DNN_(5,36,32)",DBScan,1,correlation,60,78,-1
"DNN_(5,36,32)_DBSCAN_metric:correlation_minPts:66","DNN_(5,36,32)",DBScan,1,correlation,66,71,-1
"DNN_(5,36,32)_DBSCAN_metric:correlation_minPts:63","DNN_(5,36,32)",DBScan,1,correlation,63,74,-1
"DNN_(5,36,32)_DBSCAN_metric:correlation_minPts:64","DNN_(5,36,32)",DBScan,1,correlation,64,82,-1
"DNN_(5,36,32)_DBSCAN_metric:correlation_minPts:69","DNN_(5,36,32)",DBScan,1,correlation,69,86,-1
"DNN_(5,36,32)_DBSCAN_metric:correlation_minPts:67","DNN_(5,36,32)",DBScan,1,correlation,67,94,-1
"DNN_(5,36,32)_DBSCAN_metric:correlation_minPts:61","DNN_(5,36,32)",DBScan,1,correlation,61,89,-1
"DNN_(5,36,32)_DBSCAN_metric:correlation_minPts:68","DNN_(5,36,32)",DBScan,1,correlation,68,94,-1
"DNN_(5,36,32)_DBSCAN_metric:l2_minPts:67","DNN_(5,36,32)",DBScan,1,l2,67,145,-1
"DNN_(5,36,32)_DBSCAN_metric:l2_minPts:69","DNN_(5,36,32)",DBScan,1,l2,69,133,-1
"DNN_(5,36,32)_DBSCAN_metric:l2_minPts:64","DNN_(5,36,32)",DBScan,1,l2,64,190,-1
"DNN_(5,36,32)_DBSCAN_metric:l2_minPts:63","DNN_(5,36,32)",DBScan,1,l2,63,164,-1
"DNN_(5,36,32)_DBSCAN_metric:euclidean_minPts:66","DNN_(5,36,32)",DBScan,1,euclidean,66,133,-1
"DNN_(5,36,32)_DBSCAN_metric:euclidean_minPts:63","DNN_(5,36,32)",DBScan,1,euclidean,63,164,-1
"DNN_(5,36,32)_DBSCAN_metric:euclidean_minPts:64","DNN_(5,36,32)",DBScan,1,euclidean,64,190,-1
"DNN_(5,36,32)_DBSCAN_metric:euclidean_minPts:69","DNN_(5,36,32)",DBScan,1,euclidean,69,133,-1
"DNN_(5,36,32)_DBSCAN_metric:euclidean_minPts:67","DNN_(5,36,32)",DBScan,1,euclidean,67,145,-1
"DNN_(5,36,32)_DBSCAN_metric:euclidean_minPts:61","DNN_(5,36,32)",DBScan,1,euclidean,61,114,-1
"DNN_(5,36,32)_DBSCAN_metric:euclidean_minPts:68","DNN_(5,36,32)",DBScan,1,euclidean,68,134,-1
"DNN_(5,36,32)_DBSCAN_metric:euclidean_minPts:62","DNN_(5,36,32)",DBScan,1,euclidean,62,116,-1
"DNN_(5,36,32)_DBSCAN_metric:l1_minPts:65","DNN_(5,36,32)",DBScan,1,l1,65,128,-1
"DNN_(5,36,32)_DBSCAN_metric:l1_minPts:60","DNN_(5,36,32)",DBScan,1,l1,60,156,-1
"DNN_(5,36,32)_DBSCAN_metric:l1_minPts:66","DNN_(5,36,32)",DBScan,1,l1,66,136,-1
"DNN_(5,36,32)_DBSCAN_metric:l1_minPts:63","DNN_(5,36,32)",DBScan,1,l1,63,125,-1
"DNN_(5,36,32)_DBSCAN_metric:l1_minPts:64","DNN_(5,36,32)",DBScan,1,l1,64,175,-1
"DNN_(5,36,32)_DBSCAN_metric:l1_minPts:69","DNN_(5,36,32)",DBScan,1,l1,69,122,-1
"DNN_(5,36,32)_DBSCAN_metric:l1_minPts:67","DNN_(5,36,32)",DBScan,1,l1,67,136,-1
"DNN_(5,36,32)_DBSCAN_metric:l1_minPts:61","DNN_(5,36,32)",DBScan,1,l1,61,151,-1
"DNN_(5,36,32)_DBSCAN_metric:l1_minPts:68","DNN_(5,36,32)",DBScan,1,l1,68,156,-1
"DNN_(5,36,32)_DBSCAN_metric:l1_minPts:62","DNN_(5,36,32)",DBScan,1,l1,62,126,-1
"DNN_(5,36,32)_DBSCAN_metric:l2_minPts:65","DNN_(5,36,32)",DBScan,1,l2,65,153,-1
"DNN_(5,36,32)_DBSCAN_metric:l2_minPts:60","DNN_(5,36,32)",DBScan,1,l2,60,226,-1
"DNN_(5,36,32)_DBSCAN_metric:l2_minPts:66","DNN_(5,36,32)",DBScan,1,l2,66,133,-1
"DNN_(5,36,32)_DBSCAN_metric:correlation_minPts:62","DNN_(5,36,32)",DBScan,1,correlation,62,96,-1
