,Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
0,"DNN_(5,36,32)_KMeans_nc:2","DNN_(5,36,32)",KMeans,2,0.9074122968031703
1,"DNN_(5,36,32)_KMeans_nc:4","DNN_(5,36,32)",KMeans,4,0.5547203699559036
2,"DNN_(5,36,32)_KMeans_nc:6","DNN_(5,36,32)",KMeans,6,0.4720798363242808
3,"DNN_(5,36,32)_KMeans_nc:8","DNN_(5,36,32)",KMeans,8,0.3924306592366441
4,"DNN_(5,36,32)_KMeans_nc:10","DNN_(5,36,32)",KMeans,10,0.330391113570617
5,"DNN_(5,36,32)_KMeans_nc:12","DNN_(5,36,32)",KMeans,12,0.3155951851026686
6,"DNN_(5,36,32)_KMeans_nc:14","DNN_(5,36,32)",KMeans,14,0.29578455617646937
7,"DNN_(5,36,32)_KMeans_nc:16","DNN_(5,36,32)",KMeans,16,0.2875788519042112
8,"DNN_(5,36,32)_KMeans_nc:18","DNN_(5,36,32)",KMeans,18,0.2754658333740827
9,"DNN_(5,36,32)_KMeans_nc:20","DNN_(5,36,32)",KMeans,20,0.259131195649103
