Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
DNN_lr_AggClustering_nc:6_link:complete_aff:l2,DNN_lr,Agg_Clustering,6,complete,l2,0.4062176070347432
DNN_lr_AggClustering_nc:6_link:average_aff:l1,DNN_lr,Agg_Clustering,6,average,l1,0.3635057401035607
DNN_lr_AggClustering_nc:6_link:average_aff:l2,DNN_lr,Agg_Clustering,6,average,l2,0.3631877241731413
DNN_lr_AggClustering_nc:8_link:complete_aff:l1,DNN_lr,Agg_Clustering,8,complete,l1,0.35483277503369914
DNN_lr_AggClustering_nc:6_link:complete_aff:l1,DNN_lr,Agg_Clustering,6,complete,l1,0.35041944715704165
DNN_lr_AggClustering_nc:8_link:average_aff:l1,DNN_lr,Agg_Clustering,8,average,l1,0.34485067372489203
DNN_lr_AggClustering_nc:8_link:average_aff:l2,DNN_lr,Agg_Clustering,8,average,l2,0.3397659451538068
DNN_lr_AggClustering_nc:10_link:complete_aff:l1,DNN_lr,Agg_Clustering,10,complete,l1,0.3323602478425994
DNN_lr_AggClustering_nc:6_link:average_aff:cosine,DNN_lr,Agg_Clustering,6,average,cosine,0.3320288439722158
DNN_lr_AggClustering_nc:8_link:complete_aff:l2,DNN_lr,Agg_Clustering,8,complete,l2,0.3275982918029641
DNN_lr_AggClustering_nc:10_link:average_aff:l2,DNN_lr,Agg_Clustering,10,average,l2,0.3257759812193209
DNN_lr_AggClustering_nc:8_link:average_aff:cosine,DNN_lr,Agg_Clustering,8,average,cosine,0.3245893278477692
DNN_lr_AggClustering_nc:6_link:complete_aff:cosine,DNN_lr,Agg_Clustering,6,complete,cosine,0.3245543668037856
DNN_lr_AggClustering_nc:12_link:average_aff:cosine,DNN_lr,Agg_Clustering,12,average,cosine,0.32319219268692045
DNN_lr_AggClustering_nc:10_link:average_aff:l1,DNN_lr,Agg_Clustering,10,average,l1,0.32147025011887764
DNN_lr_AggClustering_nc:12_link:average_aff:l2,DNN_lr,Agg_Clustering,12,average,l2,0.3201511401702535
DNN_lr_AggClustering_nc:14_link:average_aff:cosine,DNN_lr,Agg_Clustering,14,average,cosine,0.3176171780466973
DNN_lr_AggClustering_nc:14_link:average_aff:l2,DNN_lr,Agg_Clustering,14,average,l2,0.3071146111866146
DNN_lr_AggClustering_nc:16_link:average_aff:l2,DNN_lr,Agg_Clustering,16,average,l2,0.30027963458086393
DNN_lr_AggClustering_nc:12_link:average_aff:l1,DNN_lr,Agg_Clustering,12,average,l1,0.2999648875955545
DNN_lr_AggClustering_nc:10_link:average_aff:cosine,DNN_lr,Agg_Clustering,10,average,cosine,0.2972969006485069
DNN_lr_AggClustering_nc:10_link:complete_aff:l2,DNN_lr,Agg_Clustering,10,complete,l2,0.296292248991808
DNN_lr_AggClustering_nc:12_link:complete_aff:l1,DNN_lr,Agg_Clustering,12,complete,l1,0.2937415944295738
DNN_lr_AggClustering_nc:8_link:complete_aff:cosine,DNN_lr,Agg_Clustering,8,complete,cosine,0.29275021121485634
DNN_lr_AggClustering_nc:12_link:complete_aff:l2,DNN_lr,Agg_Clustering,12,complete,l2,0.28661651768575536
DNN_lr_AggClustering_nc:16_link:average_aff:cosine,DNN_lr,Agg_Clustering,16,average,cosine,0.28555138322267465
DNN_lr_AggClustering_nc:18_link:complete_aff:l1,DNN_lr,Agg_Clustering,18,complete,l1,0.2782011359800983
DNN_lr_AggClustering_nc:18_link:average_aff:l2,DNN_lr,Agg_Clustering,18,average,l2,0.2762228696711775
DNN_lr_AggClustering_nc:14_link:complete_aff:l1,DNN_lr,Agg_Clustering,14,complete,l1,0.2761514157058069
DNN_lr_AggClustering_nc:16_link:average_aff:l1,DNN_lr,Agg_Clustering,16,average,l1,0.2758633382578985
DNN_lr_AggClustering_nc:14_link:complete_aff:l2,DNN_lr,Agg_Clustering,14,complete,l2,0.2751477677382552
DNN_lr_AggClustering_nc:20_link:average_aff:l2,DNN_lr,Agg_Clustering,20,average,l2,0.2735827089899384
DNN_lr_AggClustering_nc:14_link:average_aff:l1,DNN_lr,Agg_Clustering,14,average,l1,0.2672051832207565
DNN_lr_AggClustering_nc:16_link:complete_aff:l1,DNN_lr,Agg_Clustering,16,complete,l1,0.2646479691424367
DNN_lr_AggClustering_nc:16_link:complete_aff:l2,DNN_lr,Agg_Clustering,16,complete,l2,0.25700498314746345
DNN_lr_AggClustering_nc:14_link:complete_aff:cosine,DNN_lr,Agg_Clustering,14,complete,cosine,0.2558685127855927
DNN_lr_AggClustering_nc:18_link:average_aff:l1,DNN_lr,Agg_Clustering,18,average,l1,0.25360672306153104
DNN_lr_AggClustering_nc:20_link:average_aff:l1,DNN_lr,Agg_Clustering,20,average,l1,0.2497556878092761
DNN_lr_AggClustering_nc:18_link:complete_aff:l2,DNN_lr,Agg_Clustering,18,complete,l2,0.2479919739860465
DNN_lr_AggClustering_nc:20_link:complete_aff:l2,DNN_lr,Agg_Clustering,20,complete,l2,0.2367628596191625
DNN_lr_AggClustering_nc:10_link:complete_aff:cosine,DNN_lr,Agg_Clustering,10,complete,cosine,0.23445083970179664
DNN_lr_AggClustering_nc:12_link:complete_aff:cosine,DNN_lr,Agg_Clustering,12,complete,cosine,0.2285420809414726
DNN_lr_AggClustering_nc:18_link:average_aff:cosine,DNN_lr,Agg_Clustering,18,average,cosine,0.22431263302649965
DNN_lr_AggClustering_nc:20_link:complete_aff:l1,DNN_lr,Agg_Clustering,20,complete,l1,0.21920682064161945
DNN_lr_AggClustering_nc:20_link:average_aff:cosine,DNN_lr,Agg_Clustering,20,average,cosine,0.20275430430216013
DNN_lr_AggClustering_nc:18_link:complete_aff:cosine,DNN_lr,Agg_Clustering,18,complete,cosine,0.18054373063738752
DNN_lr_AggClustering_nc:16_link:complete_aff:cosine,DNN_lr,Agg_Clustering,16,complete,cosine,0.17693680764590666
