Title,Embeddings,Algorithm,Num Clusters,Metric,MinPts,NumNoise,Silhouette Score
DNN_lr_DBSCAN_metric:euclidean_minPts:48,DNN_lr,DBScan,1,euclidean,48,140,-1
DNN_lr_DBSCAN_metric:cosine_minPts:54,DNN_lr,DBScan,1,cosine,54,177,-1
DNN_lr_DBSCAN_metric:l2_minPts:54,DNN_lr,DBScan,1,l2,54,122,-1
DNN_lr_DBSCAN_metric:l2_minPts:55,DNN_lr,DBScan,1,l2,55,125,-1
DNN_lr_DBSCAN_metric:l2_minPts:52,DNN_lr,DBScan,1,l2,52,140,-1
DNN_lr_DBSCAN_metric:cosine_minPts:48,DNN_lr,DBScan,1,cosine,48,188,-1
DNN_lr_DBSCAN_metric:cosine_minPts:49,DNN_lr,DBScan,1,cosine,49,175,-1
DNN_lr_DBSCAN_metric:cosine_minPts:53,DNN_lr,DBScan,1,cosine,53,181,-1
DNN_lr_DBSCAN_metric:cosine_minPts:57,DNN_lr,DBScan,1,cosine,57,182,-1
DNN_lr_DBSCAN_metric:cosine_minPts:51,DNN_lr,DBScan,1,cosine,51,184,-1
DNN_lr_DBSCAN_metric:cosine_minPts:50,DNN_lr,DBScan,1,cosine,50,189,-1
DNN_lr_DBSCAN_metric:cosine_minPts:47,DNN_lr,DBScan,1,cosine,47,188,-1
DNN_lr_DBSCAN_metric:cosine_minPts:55,DNN_lr,DBScan,1,cosine,55,168,-1
DNN_lr_DBSCAN_metric:euclidean_minPts:49,DNN_lr,DBScan,1,euclidean,49,124,-1
DNN_lr_DBSCAN_metric:cosine_minPts:52,DNN_lr,DBScan,1,cosine,52,173,-1
DNN_lr_DBSCAN_metric:correlation_minPts:48,DNN_lr,DBScan,1,correlation,48,536,-1
DNN_lr_DBSCAN_metric:correlation_minPts:49,DNN_lr,DBScan,1,correlation,49,449,-1
DNN_lr_DBSCAN_metric:correlation_minPts:53,DNN_lr,DBScan,1,correlation,53,483,-1
DNN_lr_DBSCAN_metric:correlation_minPts:57,DNN_lr,DBScan,1,correlation,57,428,-1
DNN_lr_DBSCAN_metric:correlation_minPts:51,DNN_lr,DBScan,1,correlation,51,387,-1
DNN_lr_DBSCAN_metric:correlation_minPts:50,DNN_lr,DBScan,1,correlation,50,414,-1
DNN_lr_DBSCAN_metric:correlation_minPts:47,DNN_lr,DBScan,1,correlation,47,415,-1
DNN_lr_DBSCAN_metric:correlation_minPts:54,DNN_lr,DBScan,1,correlation,54,439,-1
DNN_lr_DBSCAN_metric:correlation_minPts:55,DNN_lr,DBScan,1,correlation,55,469,-1
DNN_lr_DBSCAN_metric:l2_minPts:47,DNN_lr,DBScan,1,l2,47,131,-1
DNN_lr_DBSCAN_metric:l2_minPts:50,DNN_lr,DBScan,1,l2,50,149,-1
DNN_lr_DBSCAN_metric:l2_minPts:51,DNN_lr,DBScan,1,l2,51,125,-1
DNN_lr_DBSCAN_metric:l2_minPts:57,DNN_lr,DBScan,1,l2,57,129,-1
DNN_lr_DBSCAN_metric:euclidean_minPts:53,DNN_lr,DBScan,1,euclidean,53,138,-1
DNN_lr_DBSCAN_metric:euclidean_minPts:57,DNN_lr,DBScan,1,euclidean,57,129,-1
DNN_lr_DBSCAN_metric:euclidean_minPts:51,DNN_lr,DBScan,1,euclidean,51,125,-1
DNN_lr_DBSCAN_metric:euclidean_minPts:50,DNN_lr,DBScan,1,euclidean,50,149,-1
DNN_lr_DBSCAN_metric:euclidean_minPts:47,DNN_lr,DBScan,1,euclidean,47,131,-1
DNN_lr_DBSCAN_metric:euclidean_minPts:54,DNN_lr,DBScan,1,euclidean,54,122,-1
DNN_lr_DBSCAN_metric:euclidean_minPts:55,DNN_lr,DBScan,1,euclidean,55,125,-1
DNN_lr_DBSCAN_metric:euclidean_minPts:52,DNN_lr,DBScan,1,euclidean,52,140,-1
DNN_lr_DBSCAN_metric:l1_minPts:48,DNN_lr,DBScan,1,l1,48,141,-1
DNN_lr_DBSCAN_metric:l1_minPts:49,DNN_lr,DBScan,1,l1,49,144,-1
DNN_lr_DBSCAN_metric:l1_minPts:53,DNN_lr,DBScan,1,l1,53,131,-1
DNN_lr_DBSCAN_metric:l1_minPts:57,DNN_lr,DBScan,1,l1,57,134,-1
DNN_lr_DBSCAN_metric:l1_minPts:51,DNN_lr,DBScan,1,l1,51,133,-1
DNN_lr_DBSCAN_metric:l1_minPts:50,DNN_lr,DBScan,1,l1,50,251,-1
DNN_lr_DBSCAN_metric:l1_minPts:47,DNN_lr,DBScan,1,l1,47,157,-1
DNN_lr_DBSCAN_metric:l1_minPts:54,DNN_lr,DBScan,1,l1,54,133,-1
DNN_lr_DBSCAN_metric:l1_minPts:55,DNN_lr,DBScan,1,l1,55,130,-1
DNN_lr_DBSCAN_metric:l1_minPts:52,DNN_lr,DBScan,1,l1,52,132,-1
DNN_lr_DBSCAN_metric:l2_minPts:48,DNN_lr,DBScan,1,l2,48,140,-1
DNN_lr_DBSCAN_metric:l2_minPts:49,DNN_lr,DBScan,1,l2,49,124,-1
DNN_lr_DBSCAN_metric:l2_minPts:53,DNN_lr,DBScan,1,l2,53,138,-1
DNN_lr_DBSCAN_metric:correlation_minPts:52,DNN_lr,DBScan,1,correlation,52,515,-1
