Title,Embeddings,Algorithm,Num Clusters,Metric,MinPts,NumNoise,Silhouette Score
DNN_sh_DBSCAN_metric:l1_minPts:62,DNN_sh,DBScan,2,l1,62,84,0.12223076381370099
DNN_sh_DBSCAN_metric:euclidean_minPts:68,DNN_sh,DBScan,2,euclidean,68,85,0.1221404721171994
DNN_sh_DBSCAN_metric:l2_minPts:68,DNN_sh,DBScan,2,l2,68,85,0.1221404721171994
DNN_sh_DBSCAN_metric:l2_minPts:61,DNN_sh,DBScan,2,l2,61,92,0.1221131182990434
DNN_sh_DBSCAN_metric:euclidean_minPts:61,DNN_sh,DBScan,2,euclidean,61,92,0.1221131182990434
DNN_sh_DBSCAN_metric:euclidean_minPts:60,DNN_sh,DBScan,2,euclidean,60,95,0.12203774510948766
DNN_sh_DBSCAN_metric:l2_minPts:60,DNN_sh,DBScan,2,l2,60,95,0.12203774510948766
DNN_sh_DBSCAN_metric:euclidean_minPts:62,DNN_sh,DBScan,2,euclidean,62,91,0.12201276987080037
DNN_sh_DBSCAN_metric:l2_minPts:62,DNN_sh,DBScan,2,l2,62,91,0.12201276987080037
DNN_sh_DBSCAN_metric:l2_minPts:63,DNN_sh,DBScan,2,l2,63,94,0.12200986629749448
DNN_sh_DBSCAN_metric:euclidean_minPts:63,DNN_sh,DBScan,2,euclidean,63,94,0.12200986629749448
DNN_sh_DBSCAN_metric:l1_minPts:61,DNN_sh,DBScan,2,l1,61,99,0.12177730850866401
DNN_sh_DBSCAN_metric:l1_minPts:63,DNN_sh,DBScan,2,l1,63,96,0.12176066023132395
DNN_sh_DBSCAN_metric:l1_minPts:59,DNN_sh,DBScan,2,l1,59,106,0.12175321931424571
DNN_sh_DBSCAN_metric:euclidean_minPts:69,DNN_sh,DBScan,2,euclidean,69,102,0.12158128649543426
DNN_sh_DBSCAN_metric:l2_minPts:69,DNN_sh,DBScan,2,l2,69,102,0.12158128649543426
DNN_sh_DBSCAN_metric:euclidean_minPts:66,DNN_sh,DBScan,2,euclidean,66,103,0.12155394463346975
DNN_sh_DBSCAN_metric:l2_minPts:66,DNN_sh,DBScan,2,l2,66,103,0.12155394463346975
DNN_sh_DBSCAN_metric:l2_minPts:59,DNN_sh,DBScan,2,l2,59,107,0.12155216042492459
DNN_sh_DBSCAN_metric:euclidean_minPts:59,DNN_sh,DBScan,2,euclidean,59,107,0.12155216042492459
DNN_sh_DBSCAN_metric:l2_minPts:67,DNN_sh,DBScan,2,l2,67,105,0.12154866145424913
DNN_sh_DBSCAN_metric:euclidean_minPts:67,DNN_sh,DBScan,2,euclidean,67,105,0.12154866145424913
DNN_sh_DBSCAN_metric:euclidean_minPts:65,DNN_sh,DBScan,2,euclidean,65,104,0.12154606115847862
DNN_sh_DBSCAN_metric:l2_minPts:65,DNN_sh,DBScan,2,l2,65,104,0.12154606115847862
DNN_sh_DBSCAN_metric:l1_minPts:68,DNN_sh,DBScan,2,l1,68,112,0.12132085244310707
DNN_sh_DBSCAN_metric:l1_minPts:66,DNN_sh,DBScan,2,l1,66,144,0.12086473258608191
DNN_sh_DBSCAN_metric:l1_minPts:60,DNN_sh,DBScan,2,l1,60,288,0.11843155424016222
DNN_sh_DBSCAN_metric:cosine_minPts:59,DNN_sh,DBScan,2,cosine,59,248,0.10079857236470686
DNN_sh_DBSCAN_metric:correlation_minPts:66,DNN_sh,DBScan,2,correlation,66,280,0.04858796025402462
DNN_sh_DBSCAN_metric:correlation_minPts:61,DNN_sh,DBScan,1,correlation,61,104,-1.0
DNN_sh_DBSCAN_metric:correlation_minPts:59,DNN_sh,DBScan,1,correlation,59,170,-1.0
DNN_sh_DBSCAN_metric:correlation_minPts:67,DNN_sh,DBScan,1,correlation,67,194,-1.0
DNN_sh_DBSCAN_metric:correlation_minPts:63,DNN_sh,DBScan,1,correlation,63,102,-1.0
DNN_sh_DBSCAN_metric:correlation_minPts:62,DNN_sh,DBScan,1,correlation,62,164,-1.0
DNN_sh_DBSCAN_metric:correlation_minPts:69,DNN_sh,DBScan,1,correlation,69,122,-1.0
DNN_sh_DBSCAN_metric:correlation_minPts:65,DNN_sh,DBScan,1,correlation,65,109,-1.0
DNN_sh_DBSCAN_metric:correlation_minPts:68,DNN_sh,DBScan,1,correlation,68,119,-1.0
DNN_sh_DBSCAN_metric:cosine_minPts:60,DNN_sh,DBScan,1,cosine,60,120,-1.0
DNN_sh_DBSCAN_metric:cosine_minPts:68,DNN_sh,DBScan,1,cosine,68,102,-1.0
DNN_sh_DBSCAN_metric:cosine_minPts:61,DNN_sh,DBScan,1,cosine,61,100,-1.0
DNN_sh_DBSCAN_metric:cosine_minPts:67,DNN_sh,DBScan,1,cosine,67,102,-1.0
DNN_sh_DBSCAN_metric:cosine_minPts:63,DNN_sh,DBScan,1,cosine,63,119,-1.0
DNN_sh_DBSCAN_metric:cosine_minPts:62,DNN_sh,DBScan,1,cosine,62,104,-1.0
DNN_sh_DBSCAN_metric:cosine_minPts:69,DNN_sh,DBScan,1,cosine,69,100,-1.0
DNN_sh_DBSCAN_metric:cosine_minPts:66,DNN_sh,DBScan,1,cosine,66,103,-1.0
DNN_sh_DBSCAN_metric:cosine_minPts:65,DNN_sh,DBScan,1,cosine,65,114,-1.0
DNN_sh_DBSCAN_metric:l1_minPts:65,DNN_sh,DBScan,1,l1,65,81,-1.0
DNN_sh_DBSCAN_metric:l1_minPts:67,DNN_sh,DBScan,1,l1,67,89,-1.0
DNN_sh_DBSCAN_metric:l1_minPts:69,DNN_sh,DBScan,1,l1,69,87,-1.0
DNN_sh_DBSCAN_metric:correlation_minPts:60,DNN_sh,DBScan,1,correlation,60,97,-1.0
