Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
DNN_v2_AggClustering_nc:6_link:average_aff:manhattan,DNN_v2,Agg_Clustering,6,average,manhattan,0.17989386326591453
DNN_v2_AggClustering_nc:6_link:average_aff:l1,DNN_v2,Agg_Clustering,6,average,l1,0.17989386326591453
DNN_v2_AggClustering_nc:6_link:average_aff:cosine,DNN_v2,Agg_Clustering,6,average,cosine,0.17441701226343015
DNN_v2_AggClustering_nc:6_link:ward_aff:euclidean,DNN_v2,Agg_Clustering,6,ward,euclidean,0.14879560386828852
DNN_v2_AggClustering_nc:8_link:average_aff:manhattan,DNN_v2,Agg_Clustering,8,average,manhattan,0.14859723582051773
DNN_v2_AggClustering_nc:8_link:average_aff:l1,DNN_v2,Agg_Clustering,8,average,l1,0.14859723582051773
DNN_v2_AggClustering_nc:8_link:average_aff:l2,DNN_v2,Agg_Clustering,8,average,l2,0.14648347147436067
DNN_v2_AggClustering_nc:8_link:average_aff:euclidean,DNN_v2,Agg_Clustering,8,average,euclidean,0.14648347147436067
DNN_v2_AggClustering_nc:6_link:average_aff:euclidean,DNN_v2,Agg_Clustering,6,average,euclidean,0.14107866931359264
DNN_v2_AggClustering_nc:6_link:average_aff:l2,DNN_v2,Agg_Clustering,6,average,l2,0.14107866931359264
DNN_v2_AggClustering_nc:8_link:ward_aff:euclidean,DNN_v2,Agg_Clustering,8,ward,euclidean,0.13697976106918855
DNN_v2_AggClustering_nc:10_link:average_aff:l1,DNN_v2,Agg_Clustering,10,average,l1,0.1328101297473157
DNN_v2_AggClustering_nc:10_link:average_aff:manhattan,DNN_v2,Agg_Clustering,10,average,manhattan,0.1328101297473157
DNN_v2_AggClustering_nc:6_link:complete_aff:l1,DNN_v2,Agg_Clustering,6,complete,l1,0.1236178198241779
DNN_v2_AggClustering_nc:6_link:complete_aff:manhattan,DNN_v2,Agg_Clustering,6,complete,manhattan,0.1236178198241779
DNN_v2_AggClustering_nc:10_link:ward_aff:euclidean,DNN_v2,Agg_Clustering,10,ward,euclidean,0.12056531476916199
DNN_v2_AggClustering_nc:12_link:average_aff:manhattan,DNN_v2,Agg_Clustering,12,average,manhattan,0.1193967072835314
DNN_v2_AggClustering_nc:12_link:average_aff:l1,DNN_v2,Agg_Clustering,12,average,l1,0.1193967072835314
DNN_v2_AggClustering_nc:16_link:ward_aff:euclidean,DNN_v2,Agg_Clustering,16,ward,euclidean,0.11732175836041824
DNN_v2_AggClustering_nc:6_link:complete_aff:cosine,DNN_v2,Agg_Clustering,6,complete,cosine,0.11633867273814406
DNN_v2_AggClustering_nc:20_link:ward_aff:euclidean,DNN_v2,Agg_Clustering,20,ward,euclidean,0.11241297503711506
DNN_v2_AggClustering_nc:18_link:ward_aff:euclidean,DNN_v2,Agg_Clustering,18,ward,euclidean,0.11237935420262307
DNN_v2_AggClustering_nc:12_link:ward_aff:euclidean,DNN_v2,Agg_Clustering,12,ward,euclidean,0.11073717562166019
DNN_v2_AggClustering_nc:14_link:ward_aff:euclidean,DNN_v2,Agg_Clustering,14,ward,euclidean,0.10992197577627218
DNN_v2_AggClustering_nc:14_link:average_aff:euclidean,DNN_v2,Agg_Clustering,14,average,euclidean,0.10969814280487743
