,Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
0,DNN_v2_CURE_nc:2,DNN_v2,CURE,2,0.7009029818098768
1,DNN_v2_CURE_nc:4,DNN_v2,CURE,4,0.16878853843339722
2,DNN_v2_CURE_nc:6,DNN_v2,CURE,6,0.11768959308930609
3,DNN_v2_CURE_nc:8,DNN_v2,CURE,8,0.011101333588072592
4,DNN_v2_CURE_nc:10,DNN_v2,CURE,10,-0.05408060043372673
5,DNN_v2_CURE_nc:12,DNN_v2,CURE,12,-0.10565487828443318
6,DNN_v2_CURE_nc:14,DNN_v2,CURE,14,-0.1432430117279614
7,DNN_v2_CURE_nc:16,DNN_v2,CURE,16,-0.16229393426837616
8,DNN_v2_CURE_nc:18,DNN_v2,CURE,18,-0.1956404048310709
9,DNN_v2_CURE_nc:20,DNN_v2,CURE,20,-0.2173695671062103
