Title,Embeddings,Algorithm,Num Clusters,Metric,MinPts,NumNoise,Silhouette Score
DNN_v2_DBSCAN_metric:euclidean_minPts:67,DNN_v2,DBScan,2,euclidean,67,5032,0.4589754611943748
DNN_v2_DBSCAN_metric:l2_minPts:67,DNN_v2,DBScan,2,l2,67,5032,0.4589754611943748
DNN_v2_DBSCAN_metric:euclidean_minPts:69,DNN_v2,DBScan,1,euclidean,69,7,-1
DNN_v2_DBSCAN_metric:cosine_minPts:60,DNN_v2,DBScan,1,cosine,60,17,-1
DNN_v2_DBSCAN_metric:l2_minPts:66,DNN_v2,DBScan,1,l2,66,9,-1
DNN_v2_DBSCAN_metric:l2_minPts:64,DNN_v2,DBScan,1,l2,64,8,-1
DNN_v2_DBSCAN_metric:cosine_minPts:69,DNN_v2,DBScan,1,cosine,69,19,-1
DNN_v2_DBSCAN_metric:cosine_minPts:68,DNN_v2,DBScan,1,cosine,68,19,-1
DNN_v2_DBSCAN_metric:cosine_minPts:62,DNN_v2,DBScan,1,cosine,62,20,-1
DNN_v2_DBSCAN_metric:cosine_minPts:59,DNN_v2,DBScan,1,cosine,59,20,-1
DNN_v2_DBSCAN_metric:cosine_minPts:61,DNN_v2,DBScan,1,cosine,61,17,-1
DNN_v2_DBSCAN_metric:cosine_minPts:65,DNN_v2,DBScan,1,cosine,65,20,-1
DNN_v2_DBSCAN_metric:cosine_minPts:67,DNN_v2,DBScan,1,cosine,67,16,-1
DNN_v2_DBSCAN_metric:cosine_minPts:64,DNN_v2,DBScan,1,cosine,64,20,-1
DNN_v2_DBSCAN_metric:cosine_minPts:66,DNN_v2,DBScan,1,cosine,66,20,-1
DNN_v2_DBSCAN_metric:correlation_minPts:69,DNN_v2,DBScan,1,correlation,69,14,-1
DNN_v2_DBSCAN_metric:correlation_minPts:68,DNN_v2,DBScan,1,correlation,68,14,-1
DNN_v2_DBSCAN_metric:correlation_minPts:62,DNN_v2,DBScan,1,correlation,62,15,-1
DNN_v2_DBSCAN_metric:correlation_minPts:59,DNN_v2,DBScan,1,correlation,59,18,-1
DNN_v2_DBSCAN_metric:correlation_minPts:61,DNN_v2,DBScan,1,correlation,61,25,-1
DNN_v2_DBSCAN_metric:correlation_minPts:65,DNN_v2,DBScan,1,correlation,65,14,-1
DNN_v2_DBSCAN_metric:correlation_minPts:67,DNN_v2,DBScan,1,correlation,67,14,-1
DNN_v2_DBSCAN_metric:correlation_minPts:60,DNN_v2,DBScan,1,correlation,60,18,-1
DNN_v2_DBSCAN_metric:correlation_minPts:66,DNN_v2,DBScan,1,correlation,66,17,-1
DNN_v2_DBSCAN_metric:l2_minPts:60,DNN_v2,DBScan,1,l2,60,8,-1
DNN_v2_DBSCAN_metric:l2_minPts:65,DNN_v2,DBScan,1,l2,65,9,-1
DNN_v2_DBSCAN_metric:euclidean_minPts:68,DNN_v2,DBScan,1,euclidean,68,10,-1
DNN_v2_DBSCAN_metric:l2_minPts:61,DNN_v2,DBScan,1,l2,61,7,-1
DNN_v2_DBSCAN_metric:euclidean_minPts:62,DNN_v2,DBScan,1,euclidean,62,11,-1
DNN_v2_DBSCAN_metric:euclidean_minPts:59,DNN_v2,DBScan,1,euclidean,59,16,-1
DNN_v2_DBSCAN_metric:euclidean_minPts:61,DNN_v2,DBScan,1,euclidean,61,7,-1
DNN_v2_DBSCAN_metric:euclidean_minPts:65,DNN_v2,DBScan,1,euclidean,65,9,-1
DNN_v2_DBSCAN_metric:euclidean_minPts:60,DNN_v2,DBScan,1,euclidean,60,8,-1
DNN_v2_DBSCAN_metric:euclidean_minPts:66,DNN_v2,DBScan,1,euclidean,66,9,-1
DNN_v2_DBSCAN_metric:euclidean_minPts:64,DNN_v2,DBScan,1,euclidean,64,8,-1
DNN_v2_DBSCAN_metric:l1_minPts:69,DNN_v2,DBScan,1,l1,69,15,-1
DNN_v2_DBSCAN_metric:l1_minPts:68,DNN_v2,DBScan,1,l1,68,5,-1
DNN_v2_DBSCAN_metric:l1_minPts:62,DNN_v2,DBScan,1,l1,62,5,-1
DNN_v2_DBSCAN_metric:l1_minPts:59,DNN_v2,DBScan,1,l1,59,13,-1
DNN_v2_DBSCAN_metric:l1_minPts:61,DNN_v2,DBScan,1,l1,61,25,-1
DNN_v2_DBSCAN_metric:l1_minPts:65,DNN_v2,DBScan,1,l1,65,14,-1
DNN_v2_DBSCAN_metric:l1_minPts:67,DNN_v2,DBScan,1,l1,67,4,-1
DNN_v2_DBSCAN_metric:l1_minPts:60,DNN_v2,DBScan,1,l1,60,18,-1
DNN_v2_DBSCAN_metric:l1_minPts:66,DNN_v2,DBScan,1,l1,66,5,-1
DNN_v2_DBSCAN_metric:l1_minPts:64,DNN_v2,DBScan,1,l1,64,5,-1
DNN_v2_DBSCAN_metric:l2_minPts:69,DNN_v2,DBScan,1,l2,69,7,-1
DNN_v2_DBSCAN_metric:l2_minPts:68,DNN_v2,DBScan,1,l2,68,10,-1
DNN_v2_DBSCAN_metric:l2_minPts:62,DNN_v2,DBScan,1,l2,62,11,-1
DNN_v2_DBSCAN_metric:l2_minPts:59,DNN_v2,DBScan,1,l2,59,16,-1
DNN_v2_DBSCAN_metric:correlation_minPts:64,DNN_v2,DBScan,1,correlation,64,18,-1
