,Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
0,DNN_v2_KMeans_nc:2,DNN_v2,KMeans,2,0.7009029818098768
1,DNN_v2_KMeans_nc:4,DNN_v2,KMeans,4,0.3460924986208729
2,DNN_v2_KMeans_nc:6,DNN_v2,KMeans,6,0.27707912624028996
3,DNN_v2_KMeans_nc:8,DNN_v2,KMeans,8,0.2716938349555853
4,DNN_v2_KMeans_nc:10,DNN_v2,KMeans,10,0.24841746380252552
5,DNN_v2_KMeans_nc:12,DNN_v2,KMeans,12,0.2404747248048577
6,DNN_v2_KMeans_nc:14,DNN_v2,KMeans,14,0.23065165505348076
7,DNN_v2_KMeans_nc:16,DNN_v2,KMeans,16,0.22803127814041602
8,DNN_v2_KMeans_nc:18,DNN_v2,KMeans,18,0.22741165137567748
9,DNN_v2_KMeans_nc:20,DNN_v2,KMeans,20,0.22511449797720767
