Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
DNN_v2_KMeans_nc:6,DNN_v2,KMeans,6,0.2228563123927788
DNN_v2_KMeans_nc:8,DNN_v2,KMeans,8,0.1945576487475865
DNN_v2_KMeans_nc:12,DNN_v2,KMeans,12,0.18043022612097145
DNN_v2_AggClustering_nc:6_link:average_aff:l1,DNN_v2,Agg_Clustering,6,0.17989386326591453
DNN_v2_KMeans_nc:10,DNN_v2,KMeans,10,0.17957110788817807
DNN_v2_AggClustering_nc:6_link:average_aff:cosine,DNN_v2,Agg_Clustering,6,0.17441701226343015
DNN_v2_KMeans_nc:14,DNN_v2,KMeans,14,0.17302854513527455
DNN_v2_KMeans_nc:16,DNN_v2,KMeans,16,0.1698825841592568
DNN_v2_KMeans_nc:18,DNN_v2,KMeans,18,0.16334854261561646
DNN_v2_KMeans_nc:20,DNN_v2,KMeans,20,0.15863675343075426
DNN_v2_AggClustering_nc:8_link:average_aff:l1,DNN_v2,Agg_Clustering,8,0.14859723582051773
DNN_v2_AggClustering_nc:8_link:average_aff:l2,DNN_v2,Agg_Clustering,8,0.14648347147436067
DNN_v2_AggClustering_nc:6_link:average_aff:l2,DNN_v2,Agg_Clustering,6,0.14107866931359264
DNN_v2_AggClustering_nc:10_link:average_aff:l1,DNN_v2,Agg_Clustering,10,0.1328101297473157
DNN_v2_AggClustering_nc:6_link:complete_aff:l1,DNN_v2,Agg_Clustering,6,0.1236178198241779
DNN_v2_AggClustering_nc:12_link:average_aff:l1,DNN_v2,Agg_Clustering,12,0.1193967072835314
DNN_v2_AggClustering_nc:6_link:complete_aff:cosine,DNN_v2,Agg_Clustering,6,0.11633867273814405
DNN_v2_AggClustering_nc:14_link:average_aff:l2,DNN_v2,Agg_Clustering,14,0.10969814280487744
DNN_v2_AggClustering_nc:10_link:average_aff:l2,DNN_v2,Agg_Clustering,10,0.10845587162978694
DNN_v2_AggClustering_nc:6_link:complete_aff:l2,DNN_v2,Agg_Clustering,6,0.10737489107555312
