Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
LDA_AggClustering_nc:6_link:single_aff:l2,LDA,Agg_Clustering,6,single,l2,0.16536609537418254
LDA_AggClustering_nc:6_link:single_aff:euclidean,LDA,Agg_Clustering,6,single,euclidean,0.16536609537418254
LDA_AggClustering_nc:6_link:single_aff:manhattan,LDA,Agg_Clustering,6,single,manhattan,0.15908598307638522
LDA_AggClustering_nc:6_link:single_aff:l1,LDA,Agg_Clustering,6,single,l1,0.15908598307638522
LDA_AggClustering_nc:6_link:average_aff:manhattan,LDA,Agg_Clustering,6,average,manhattan,0.1498840770638353
LDA_AggClustering_nc:6_link:average_aff:l1,LDA,Agg_Clustering,6,average,l1,0.1498840770638353
LDA_AggClustering_nc:6_link:average_aff:l2,LDA,Agg_Clustering,6,average,l2,0.1452286139604397
LDA_AggClustering_nc:6_link:average_aff:euclidean,LDA,Agg_Clustering,6,average,euclidean,0.1452286139604397
LDA_AggClustering_nc:8_link:single_aff:euclidean,LDA,Agg_Clustering,8,single,euclidean,0.13945566169760612
LDA_AggClustering_nc:8_link:single_aff:l2,LDA,Agg_Clustering,8,single,l2,0.13945566169760612
LDA_AggClustering_nc:8_link:average_aff:manhattan,LDA,Agg_Clustering,8,average,manhattan,0.1372480311722277
LDA_AggClustering_nc:8_link:average_aff:l1,LDA,Agg_Clustering,8,average,l1,0.1372480311722277
LDA_AggClustering_nc:8_link:single_aff:manhattan,LDA,Agg_Clustering,8,single,manhattan,0.13238059325779186
LDA_AggClustering_nc:8_link:single_aff:l1,LDA,Agg_Clustering,8,single,l1,0.13238059325779186
LDA_AggClustering_nc:10_link:single_aff:euclidean,LDA,Agg_Clustering,10,single,euclidean,0.13225332111296215
LDA_AggClustering_nc:10_link:single_aff:l2,LDA,Agg_Clustering,10,single,l2,0.13225332111296215
LDA_AggClustering_nc:10_link:average_aff:manhattan,LDA,Agg_Clustering,10,average,manhattan,0.1278373856291333
LDA_AggClustering_nc:10_link:average_aff:l1,LDA,Agg_Clustering,10,average,l1,0.1278373856291333
LDA_AggClustering_nc:10_link:single_aff:manhattan,LDA,Agg_Clustering,10,single,manhattan,0.11897759722384284
LDA_AggClustering_nc:10_link:single_aff:l1,LDA,Agg_Clustering,10,single,l1,0.11897759722384284
LDA_AggClustering_nc:12_link:single_aff:euclidean,LDA,Agg_Clustering,12,single,euclidean,0.1162710115280908
LDA_AggClustering_nc:12_link:single_aff:l2,LDA,Agg_Clustering,12,single,l2,0.1162710115280908
LDA_AggClustering_nc:12_link:average_aff:l1,LDA,Agg_Clustering,12,average,l1,0.11595560688501856
LDA_AggClustering_nc:12_link:average_aff:manhattan,LDA,Agg_Clustering,12,average,manhattan,0.11595560688501856
LDA_AggClustering_nc:8_link:average_aff:l2,LDA,Agg_Clustering,8,average,l2,0.11504090131437111
LDA_AggClustering_nc:8_link:average_aff:euclidean,LDA,Agg_Clustering,8,average,euclidean,0.11504090131437111
LDA_AggClustering_nc:12_link:single_aff:manhattan,LDA,Agg_Clustering,12,single,manhattan,0.10717509927767975
LDA_AggClustering_nc:12_link:single_aff:l1,LDA,Agg_Clustering,12,single,l1,0.10717509927767975
LDA_AggClustering_nc:14_link:average_aff:l1,LDA,Agg_Clustering,14,average,l1,0.10409610512316073
LDA_AggClustering_nc:14_link:average_aff:manhattan,LDA,Agg_Clustering,14,average,manhattan,0.10409610512316073
LDA_AggClustering_nc:14_link:single_aff:euclidean,LDA,Agg_Clustering,14,single,euclidean,0.10341859890755153
LDA_AggClustering_nc:14_link:single_aff:l2,LDA,Agg_Clustering,14,single,l2,0.10341859890755153
LDA_AggClustering_nc:10_link:average_aff:euclidean,LDA,Agg_Clustering,10,average,euclidean,0.09779141404442618
LDA_AggClustering_nc:10_link:average_aff:l2,LDA,Agg_Clustering,10,average,l2,0.09779141404442618
LDA_AggClustering_nc:16_link:average_aff:l1,LDA,Agg_Clustering,16,average,l1,0.091616495421879
LDA_AggClustering_nc:16_link:average_aff:manhattan,LDA,Agg_Clustering,16,average,manhattan,0.091616495421879
LDA_AggClustering_nc:14_link:single_aff:l1,LDA,Agg_Clustering,14,single,l1,0.09101045562991274
LDA_AggClustering_nc:14_link:single_aff:manhattan,LDA,Agg_Clustering,14,single,manhattan,0.09101045562991274
LDA_AggClustering_nc:16_link:single_aff:euclidean,LDA,Agg_Clustering,16,single,euclidean,0.09070285752544459
LDA_AggClustering_nc:16_link:single_aff:l2,LDA,Agg_Clustering,16,single,l2,0.09070285752544459
LDA_AggClustering_nc:12_link:average_aff:l2,LDA,Agg_Clustering,12,average,l2,0.08416352745551273
LDA_AggClustering_nc:12_link:average_aff:euclidean,LDA,Agg_Clustering,12,average,euclidean,0.08416352745551273
LDA_AggClustering_nc:16_link:single_aff:manhattan,LDA,Agg_Clustering,16,single,manhattan,0.08016317156536443
LDA_AggClustering_nc:16_link:single_aff:l1,LDA,Agg_Clustering,16,single,l1,0.08016317156536443
LDA_AggClustering_nc:14_link:average_aff:l2,LDA,Agg_Clustering,14,average,l2,0.0770721423759257
LDA_AggClustering_nc:14_link:average_aff:euclidean,LDA,Agg_Clustering,14,average,euclidean,0.0770721423759257
LDA_AggClustering_nc:18_link:average_aff:manhattan,LDA,Agg_Clustering,18,average,manhattan,0.07602391533765075
LDA_AggClustering_nc:18_link:average_aff:l1,LDA,Agg_Clustering,18,average,l1,0.07602391533765075
LDA_AggClustering_nc:18_link:single_aff:l2,LDA,Agg_Clustering,18,single,l2,0.07534468587883035
LDA_AggClustering_nc:18_link:single_aff:euclidean,LDA,Agg_Clustering,18,single,euclidean,0.07534468587883035
LDA_AggClustering_nc:6_link:complete_aff:euclidean,LDA,Agg_Clustering,6,complete,euclidean,0.07472526465814348
LDA_AggClustering_nc:6_link:complete_aff:l2,LDA,Agg_Clustering,6,complete,l2,0.07472526465814348
LDA_AggClustering_nc:16_link:average_aff:l2,LDA,Agg_Clustering,16,average,l2,0.07354850166730573
LDA_AggClustering_nc:16_link:average_aff:euclidean,LDA,Agg_Clustering,16,average,euclidean,0.07354850166730573
LDA_AggClustering_nc:18_link:single_aff:l1,LDA,Agg_Clustering,18,single,l1,0.0706441409828403
LDA_AggClustering_nc:18_link:single_aff:manhattan,LDA,Agg_Clustering,18,single,manhattan,0.0706441409828403
LDA_AggClustering_nc:20_link:average_aff:manhattan,LDA,Agg_Clustering,20,average,manhattan,0.0667449757080913
LDA_AggClustering_nc:20_link:average_aff:l1,LDA,Agg_Clustering,20,average,l1,0.0667449757080913
LDA_AggClustering_nc:20_link:single_aff:l2,LDA,Agg_Clustering,20,single,l2,0.06406571850918462
LDA_AggClustering_nc:20_link:single_aff:euclidean,LDA,Agg_Clustering,20,single,euclidean,0.06406571850918462
LDA_AggClustering_nc:18_link:average_aff:l2,LDA,Agg_Clustering,18,average,l2,0.06157417375403649
LDA_AggClustering_nc:18_link:average_aff:euclidean,LDA,Agg_Clustering,18,average,euclidean,0.06157417375403649
LDA_AggClustering_nc:6_link:average_aff:cosine,LDA,Agg_Clustering,6,average,cosine,0.0593240066198956
LDA_AggClustering_nc:20_link:single_aff:l1,LDA,Agg_Clustering,20,single,l1,0.05806661916816107
LDA_AggClustering_nc:20_link:single_aff:manhattan,LDA,Agg_Clustering,20,single,manhattan,0.05806661916816107
LDA_AggClustering_nc:6_link:ward_aff:euclidean,LDA,Agg_Clustering,6,ward,euclidean,0.057888562718305045
LDA_AggClustering_nc:20_link:average_aff:l2,LDA,Agg_Clustering,20,average,l2,0.053959194017099935
LDA_AggClustering_nc:20_link:average_aff:euclidean,LDA,Agg_Clustering,20,average,euclidean,0.053959194017099935
LDA_AggClustering_nc:8_link:complete_aff:euclidean,LDA,Agg_Clustering,8,complete,euclidean,0.04546363316502711
LDA_AggClustering_nc:8_link:complete_aff:l2,LDA,Agg_Clustering,8,complete,l2,0.04546363316502711
LDA_AggClustering_nc:8_link:ward_aff:euclidean,LDA,Agg_Clustering,8,ward,euclidean,0.04070941623029826
LDA_AggClustering_nc:8_link:average_aff:cosine,LDA,Agg_Clustering,8,average,cosine,0.037845938833527513
LDA_AggClustering_nc:12_link:average_aff:cosine,LDA,Agg_Clustering,12,average,cosine,0.03279142229910846
LDA_AggClustering_nc:10_link:ward_aff:euclidean,LDA,Agg_Clustering,10,ward,euclidean,0.03274482898246768
LDA_AggClustering_nc:10_link:complete_aff:euclidean,LDA,Agg_Clustering,10,complete,euclidean,0.029656952445623885
LDA_AggClustering_nc:10_link:complete_aff:l2,LDA,Agg_Clustering,10,complete,l2,0.029656952445623885
LDA_AggClustering_nc:12_link:complete_aff:l2,LDA,Agg_Clustering,12,complete,l2,0.02947793064244835
LDA_AggClustering_nc:12_link:complete_aff:euclidean,LDA,Agg_Clustering,12,complete,euclidean,0.02947793064244835
LDA_AggClustering_nc:10_link:average_aff:cosine,LDA,Agg_Clustering,10,average,cosine,0.028361616626891163
LDA_AggClustering_nc:20_link:complete_aff:l2,LDA,Agg_Clustering,20,complete,l2,0.027819614950100286
