,Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
0,LDA_CURE_nc:2,LDA,CURE,2,0.590189719953001
1,LDA_CURE_nc:4,LDA,CURE,4,0.26490250314923736
2,LDA_CURE_nc:6,LDA,CURE,6,0.2044115683792042
3,LDA_CURE_nc:8,LDA,CURE,8,0.14287528619845805
4,LDA_CURE_nc:10,LDA,CURE,10,0.13232612046230252
5,LDA_CURE_nc:12,LDA,CURE,12,0.12266340677867452
6,LDA_CURE_nc:14,LDA,CURE,14,0.11039004187341853
7,LDA_CURE_nc:16,LDA,CURE,16,0.10681892636672739
8,LDA_CURE_nc:18,LDA,CURE,18,0.10164662097981964
9,LDA_CURE_nc:20,LDA,CURE,20,0.08702970107907225
