Title,Embeddings,Algorithm,Num Clusters,Metric,MinPts,NumNoise,Silhouette Score
LDA_DBSCAN_metric:correlation_minPts:82,LDA,DBScan,2,correlation,82,4830,0.3834229937294813
LDA_DBSCAN_metric:correlation_minPts:81,LDA,DBScan,2,correlation,81,4821,0.3828443549524619
LDA_DBSCAN_metric:correlation_minPts:89,LDA,DBScan,2,correlation,89,4721,0.3616022821012481
LDA_DBSCAN_metric:cosine_minPts:81,LDA,DBScan,2,cosine,81,4671,0.357686310038714
LDA_DBSCAN_metric:cosine_minPts:83,LDA,DBScan,2,cosine,83,4661,0.35672322424848846
LDA_DBSCAN_metric:correlation_minPts:83,LDA,DBScan,2,correlation,83,4524,0.3534817731020744
LDA_DBSCAN_metric:correlation_minPts:86,LDA,DBScan,2,correlation,86,4513,0.35216032572890027
LDA_DBSCAN_metric:correlation_minPts:87,LDA,DBScan,2,correlation,87,4508,0.35161788836495633
LDA_DBSCAN_metric:cosine_minPts:85,LDA,DBScan,2,cosine,85,4518,0.3485456440622419
LDA_DBSCAN_metric:cosine_minPts:87,LDA,DBScan,2,cosine,87,4526,0.348527117238135
LDA_DBSCAN_metric:cosine_minPts:84,LDA,DBScan,2,cosine,84,4443,0.3445192226282029
LDA_DBSCAN_metric:correlation_minPts:88,LDA,DBScan,2,correlation,88,4225,0.3365661854346179
LDA_DBSCAN_metric:correlation_minPts:85,LDA,DBScan,2,correlation,85,4196,0.33494325173137995
LDA_DBSCAN_metric:cosine_minPts:88,LDA,DBScan,2,cosine,88,3941,0.32047599188975123
LDA_DBSCAN_metric:cosine_minPts:89,LDA,DBScan,2,cosine,89,3882,0.3177141629330463
LDA_DBSCAN_metric:cosine_minPts:82,LDA,DBScan,2,cosine,82,3868,0.3165640946119456
LDA_DBSCAN_metric:correlation_minPts:84,LDA,DBScan,3,correlation,84,3733,0.18098002300031096
LDA_DBSCAN_metric:correlation_minPts:80,LDA,DBScan,3,correlation,80,3741,0.1807090952665385
LDA_DBSCAN_metric:cosine_minPts:86,LDA,DBScan,3,cosine,86,3627,0.17449819799608407
LDA_DBSCAN_metric:cosine_minPts:80,LDA,DBScan,1,cosine,80,0,-1
LDA_DBSCAN_metric:euclidean_minPts:88,LDA,DBScan,1,euclidean,88,4129,-1
LDA_DBSCAN_metric:l2_minPts:84,LDA,DBScan,1,l2,84,3725,-1
LDA_DBSCAN_metric:l2_minPts:86,LDA,DBScan,1,l2,86,4147,-1
LDA_DBSCAN_metric:l2_minPts:83,LDA,DBScan,1,l2,83,4153,-1
LDA_DBSCAN_metric:l2_minPts:87,LDA,DBScan,1,l2,87,20,-1
LDA_DBSCAN_metric:euclidean_minPts:85,LDA,DBScan,1,euclidean,85,4146,-1
LDA_DBSCAN_metric:l2_minPts:82,LDA,DBScan,1,l2,82,18,-1
LDA_DBSCAN_metric:l2_minPts:81,LDA,DBScan,1,l2,81,20,-1
LDA_DBSCAN_metric:euclidean_minPts:89,LDA,DBScan,1,euclidean,89,32,-1
LDA_DBSCAN_metric:euclidean_minPts:81,LDA,DBScan,1,euclidean,81,20,-1
LDA_DBSCAN_metric:euclidean_minPts:82,LDA,DBScan,1,euclidean,82,18,-1
LDA_DBSCAN_metric:euclidean_minPts:80,LDA,DBScan,1,euclidean,80,3792,-1
LDA_DBSCAN_metric:euclidean_minPts:87,LDA,DBScan,1,euclidean,87,20,-1
LDA_DBSCAN_metric:euclidean_minPts:83,LDA,DBScan,1,euclidean,83,4153,-1
LDA_DBSCAN_metric:euclidean_minPts:86,LDA,DBScan,1,euclidean,86,4147,-1
LDA_DBSCAN_metric:euclidean_minPts:84,LDA,DBScan,1,euclidean,84,3725,-1
LDA_DBSCAN_metric:l1_minPts:85,LDA,DBScan,1,l1,85,4032,-1
LDA_DBSCAN_metric:l1_minPts:88,LDA,DBScan,1,l1,88,20,-1
LDA_DBSCAN_metric:l1_minPts:89,LDA,DBScan,1,l1,89,19,-1
LDA_DBSCAN_metric:l1_minPts:81,LDA,DBScan,1,l1,81,4489,-1
LDA_DBSCAN_metric:l1_minPts:82,LDA,DBScan,1,l1,82,21,-1
LDA_DBSCAN_metric:l1_minPts:80,LDA,DBScan,1,l1,80,24,-1
LDA_DBSCAN_metric:l1_minPts:87,LDA,DBScan,1,l1,87,4318,-1
LDA_DBSCAN_metric:l1_minPts:83,LDA,DBScan,1,l1,83,4384,-1
LDA_DBSCAN_metric:l1_minPts:86,LDA,DBScan,1,l1,86,21,-1
LDA_DBSCAN_metric:l1_minPts:84,LDA,DBScan,1,l1,84,4177,-1
LDA_DBSCAN_metric:l2_minPts:85,LDA,DBScan,1,l2,85,4146,-1
LDA_DBSCAN_metric:l2_minPts:88,LDA,DBScan,1,l2,88,4129,-1
LDA_DBSCAN_metric:l2_minPts:89,LDA,DBScan,1,l2,89,32,-1
LDA_DBSCAN_metric:l2_minPts:80,LDA,DBScan,1,l2,80,3792,-1
