,Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
0,LDA_KMeans_nc:2,LDA,KMeans,2,0.590189719953001
1,LDA_KMeans_nc:4,LDA,KMeans,4,0.167175407913516
2,LDA_KMeans_nc:6,LDA,KMeans,6,0.12060058825100624
3,LDA_KMeans_nc:8,LDA,KMeans,8,0.11028865255746988
4,LDA_KMeans_nc:10,LDA,KMeans,10,0.10624555679754366
5,LDA_KMeans_nc:12,LDA,KMeans,12,0.051548139878167594
6,LDA_KMeans_nc:14,LDA,KMeans,14,0.04723489378694637
7,LDA_KMeans_nc:16,LDA,KMeans,16,0.043257558903584306
9,LDA_KMeans_nc:20,LDA,KMeans,20,0.04024350987876745
8,LDA_KMeans_nc:18,LDA,KMeans,18,0.04015490447572062
