Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
LDA_AggClustering_nc:6_link:single_aff:l2,LDA,Agg_Clustering,6,0.16536609537418254
LDA_AggClustering_nc:6_link:single_aff:l1,LDA,Agg_Clustering,6,0.15908598307638522
LDA_AggClustering_nc:6_link:average_aff:l1,LDA,Agg_Clustering,6,0.1498840770638353
LDA_AggClustering_nc:6_link:average_aff:l2,LDA,Agg_Clustering,6,0.1452286139604397
LDA_AggClustering_nc:8_link:single_aff:l2,LDA,Agg_Clustering,8,0.13945566169760612
LDA_AggClustering_nc:8_link:average_aff:l1,LDA,Agg_Clustering,8,0.1372480311722277
LDA_AggClustering_nc:8_link:single_aff:l1,LDA,Agg_Clustering,8,0.13238059325779186
LDA_AggClustering_nc:10_link:single_aff:l2,LDA,Agg_Clustering,10,0.13225332111296215
LDA_CURE_nc:6,LDA,CURE,6,0.1285274340202747
LDA_AggClustering_nc:10_link:average_aff:l1,LDA,Agg_Clustering,10,0.1278373856291333
LDA_AggClustering_nc:10_link:single_aff:l1,LDA,Agg_Clustering,10,0.11897759722384285
LDA_CURE_nc:8,LDA,CURE,8,0.11695538506401572
LDA_AggClustering_nc:12_link:single_aff:l2,LDA,Agg_Clustering,12,0.1162710115280908
LDA_AggClustering_nc:12_link:average_aff:l1,LDA,Agg_Clustering,12,0.11595560688501855
LDA_AggClustering_nc:8_link:average_aff:l2,LDA,Agg_Clustering,8,0.11504090131437113
LDA_AggClustering_nc:12_link:single_aff:l1,LDA,Agg_Clustering,12,0.10717509927767976
LDA_CURE_nc:10,LDA,CURE,10,0.10635574158566743
LDA_AggClustering_nc:14_link:average_aff:l1,LDA,Agg_Clustering,14,0.10409610512316073
LDA_AggClustering_nc:14_link:single_aff:l2,LDA,Agg_Clustering,14,0.10341859890755152
LDA_AggClustering_nc:10_link:average_aff:l2,LDA,Agg_Clustering,10,0.09779141404442618
