Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
OG_AggClustering_nc:18_link:single_aff:l2,OG,Agg_Clustering,18,single,l2,0.2700766672160027
OG_AggClustering_nc:20_link:single_aff:cosine,OG,Agg_Clustering,20,single,cosine,0.26513980668958864
OG_AggClustering_nc:20_link:single_aff:l2,OG,Agg_Clustering,20,single,l2,0.26513980668958864
OG_AggClustering_nc:14_link:average_aff:l2,OG,Agg_Clustering,14,average,l2,0.2475148476419524
OG_AggClustering_nc:20_link:average_aff:l2,OG,Agg_Clustering,20,average,l2,0.24542509080497435
OG_AggClustering_nc:20_link:average_aff:cosine,OG,Agg_Clustering,20,average,cosine,0.24339816604270825
OG_AggClustering_nc:16_link:average_aff:l2,OG,Agg_Clustering,16,average,l2,0.2433550935775613
OG_AggClustering_nc:18_link:average_aff:l2,OG,Agg_Clustering,18,average,l2,0.24243869409275684
OG_AggClustering_nc:18_link:average_aff:cosine,OG,Agg_Clustering,18,average,cosine,0.23641602582269744
OG_AggClustering_nc:16_link:single_aff:l2,OG,Agg_Clustering,16,single,l2,0.2320649619474117
OG_AggClustering_nc:12_link:average_aff:l2,OG,Agg_Clustering,12,average,l2,0.23150387050796045
OG_AggClustering_nc:14_link:average_aff:cosine,OG,Agg_Clustering,14,average,cosine,0.2169469270529304
OG_AggClustering_nc:16_link:average_aff:cosine,OG,Agg_Clustering,16,average,cosine,0.2157127103045043
OG_AggClustering_nc:18_link:single_aff:cosine,OG,Agg_Clustering,18,single,cosine,0.21354896491192932
OG_AggClustering_nc:8_link:average_aff:l2,OG,Agg_Clustering,8,average,l2,0.2131247404973087
OG_AggClustering_nc:6_link:average_aff:cosine,OG,Agg_Clustering,6,average,cosine,0.2023240767711265
OG_AggClustering_nc:6_link:average_aff:l2,OG,Agg_Clustering,6,average,l2,0.1997770808463128
OG_AggClustering_nc:12_link:average_aff:cosine,OG,Agg_Clustering,12,average,cosine,0.1991495473546235
OG_AggClustering_nc:10_link:average_aff:l2,OG,Agg_Clustering,10,average,l2,0.18875690252514804
OG_AggClustering_nc:20_link:complete_aff:cosine,OG,Agg_Clustering,20,complete,cosine,0.1841704567166018
OG_AggClustering_nc:8_link:average_aff:cosine,OG,Agg_Clustering,8,average,cosine,0.1735835818423304
OG_AggClustering_nc:18_link:complete_aff:cosine,OG,Agg_Clustering,18,complete,cosine,0.1708112721460432
OG_AggClustering_nc:10_link:average_aff:cosine,OG,Agg_Clustering,10,average,cosine,0.16863105448995822
OG_AggClustering_nc:12_link:complete_aff:cosine,OG,Agg_Clustering,12,complete,cosine,0.16147958691035091
OG_AggClustering_nc:10_link:complete_aff:cosine,OG,Agg_Clustering,10,complete,cosine,0.15578303851812067
OG_AggClustering_nc:14_link:complete_aff:cosine,OG,Agg_Clustering,14,complete,cosine,0.15175479267110936
OG_AggClustering_nc:16_link:complete_aff:cosine,OG,Agg_Clustering,16,complete,cosine,0.1464534238357443
OG_AggClustering_nc:16_link:single_aff:cosine,OG,Agg_Clustering,16,single,cosine,0.1416101580744561
OG_AggClustering_nc:8_link:complete_aff:cosine,OG,Agg_Clustering,8,complete,cosine,0.12309730541058385
OG_AggClustering_nc:20_link:complete_aff:l2,OG,Agg_Clustering,20,complete,l2,0.11910243671552928
OG_AggClustering_nc:18_link:complete_aff:l2,OG,Agg_Clustering,18,complete,l2,0.11817662730641434
OG_AggClustering_nc:6_link:complete_aff:cosine,OG,Agg_Clustering,6,complete,cosine,0.11537147753482263
OG_AggClustering_nc:16_link:complete_aff:l2,OG,Agg_Clustering,16,complete,l2,0.11510994210702442
OG_AggClustering_nc:14_link:single_aff:l2,OG,Agg_Clustering,14,single,l2,0.11052384087776523
OG_AggClustering_nc:14_link:complete_aff:l2,OG,Agg_Clustering,14,complete,l2,0.10581212678504982
OG_AggClustering_nc:10_link:complete_aff:l2,OG,Agg_Clustering,10,complete,l2,0.09144775010693564
OG_AggClustering_nc:8_link:complete_aff:l2,OG,Agg_Clustering,8,complete,l2,0.0903809947477678
