Title,Embeddings,Algorithm,Num Clusters,Metric,MinPts,NumNoise,Silhouette Score
OG_DBSCAN_metric:l2_minPts:137,OG,DBScan,7,l2,137,817,0.29491918488799246
OG_DBSCAN_metric:l2_minPts:115,OG,DBScan,9,l2,115,551,0.2805758825943928
OG_DBSCAN_metric:l2_minPts:105,OG,DBScan,10,l2,105,422,0.2782249525566482
OG_DBSCAN_metric:l2_minPts:94,OG,DBScan,11,l2,94,312,0.2765510166165622
OG_DBSCAN_metric:l2_minPts:101,OG,DBScan,11,l2,101,320,0.27646350223210836
OG_DBSCAN_metric:l2_minPts:77,OG,DBScan,12,l2,77,218,0.27541708633191625
OG_DBSCAN_metric:cosine_minPts:40,OG,DBScan,14,cosine,40,92,0.27302321093405646
OG_DBSCAN_metric:cosine_minPts:35,OG,DBScan,14,cosine,35,101,0.2728289128876416
OG_DBSCAN_metric:correlation_minPts:66,OG,DBScan,13,correlation,66,148,0.27278422617075415
OG_DBSCAN_metric:l2_minPts:35,OG,DBScan,14,l2,35,86,0.2727446123691705
OG_DBSCAN_metric:correlation_minPts:35,OG,DBScan,14,correlation,35,96,0.27241200424436574
OG_DBSCAN_metric:correlation_minPts:40,OG,DBScan,14,correlation,40,102,0.27228997675876676
OG_DBSCAN_metric:l2_minPts:40,OG,DBScan,14,l2,40,99,0.27201484035666074
OG_DBSCAN_metric:l2_minPts:66,OG,DBScan,12,l2,66,138,0.24338792769096834
OG_DBSCAN_metric:correlation_minPts:137,OG,DBScan,6,correlation,137,679,0.1645558593174107
OG_DBSCAN_metric:cosine_minPts:137,OG,DBScan,2,cosine,137,648,0.14433918782227054
OG_DBSCAN_metric:correlation_minPts:90,OG,DBScan,6,correlation,90,307,0.12513179732924398
OG_DBSCAN_metric:cosine_minPts:94,OG,DBScan,3,cosine,94,232,0.08600949517744175
OG_DBSCAN_metric:cosine_minPts:90,OG,DBScan,3,cosine,90,236,0.08596451764765065
OG_DBSCAN_metric:correlation_minPts:105,OG,DBScan,3,correlation,105,267,0.08533471458112392
OG_DBSCAN_metric:correlation_minPts:115,OG,DBScan,3,correlation,115,411,0.07510343820331923
OG_DBSCAN_metric:correlation_minPts:77,OG,DBScan,3,correlation,77,206,0.05943561544480487
OG_DBSCAN_metric:cosine_minPts:66,OG,DBScan,6,cosine,66,143,0.019278986185209075
OG_DBSCAN_metric:l2_minPts:90,OG,DBScan,1,l2,90,142,-1
OG_DBSCAN_metric:l1_minPts:137,OG,DBScan,1,l1,137,1,-1
OG_DBSCAN_metric:correlation_minPts:94,OG,DBScan,1,correlation,94,74,-1
OG_DBSCAN_metric:l1_minPts:101,OG,DBScan,1,l1,101,4,-1
OG_DBSCAN_metric:l1_minPts:66,OG,DBScan,1,l1,66,2,-1
OG_DBSCAN_metric:l1_minPts:35,OG,DBScan,1,l1,35,10,-1
OG_DBSCAN_metric:correlation_minPts:101,OG,DBScan,1,correlation,101,55,-1
OG_DBSCAN_metric:l1_minPts:77,OG,DBScan,1,l1,77,6,-1
OG_DBSCAN_metric:l1_minPts:115,OG,DBScan,1,l1,115,6,-1
OG_DBSCAN_metric:cosine_minPts:105,OG,DBScan,1,cosine,105,115,-1
OG_DBSCAN_metric:l1_minPts:94,OG,DBScan,1,l1,94,3,-1
OG_DBSCAN_metric:cosine_minPts:77,OG,DBScan,1,cosine,77,131,-1
OG_DBSCAN_metric:l1_minPts:105,OG,DBScan,1,l1,105,6,-1
OG_DBSCAN_metric:l1_minPts:40,OG,DBScan,1,l1,40,5,-1
OG_DBSCAN_metric:cosine_minPts:101,OG,DBScan,1,cosine,101,202,-1
OG_DBSCAN_metric:cosine_minPts:115,OG,DBScan,1,cosine,115,28,-1
OG_DBSCAN_metric:l1_minPts:90,OG,DBScan,1,l1,90,8,-1
