Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
PCA-0-mean_AggClustering_nc:18_link:single_aff:cosine,PCA-0-mean,Agg_Clustering,18,single,cosine,0.4197917308581223
PCA-0-mean_AggClustering_nc:18_link:single_aff:euclidean,PCA-0-mean,Agg_Clustering,18,single,euclidean,0.4197917308581223
PCA-0-mean_AggClustering_nc:18_link:single_aff:l2,PCA-0-mean,Agg_Clustering,18,single,l2,0.4197917308581223
PCA-0-mean_AggClustering_nc:20_link:single_aff:l2,PCA-0-mean,Agg_Clustering,20,single,l2,0.41682249560095547
PCA-0-mean_AggClustering_nc:20_link:single_aff:euclidean,PCA-0-mean,Agg_Clustering,20,single,euclidean,0.41682249560095547
PCA-0-mean_AggClustering_nc:16_link:single_aff:cosine,PCA-0-mean,Agg_Clustering,16,single,cosine,0.4083711676239866
PCA-0-mean_AggClustering_nc:16_link:average_aff:l2,PCA-0-mean,Agg_Clustering,16,average,l2,0.40427357089105875
PCA-0-mean_AggClustering_nc:16_link:average_aff:euclidean,PCA-0-mean,Agg_Clustering,16,average,euclidean,0.40427357089105875
PCA-0-mean_AggClustering_nc:20_link:average_aff:euclidean,PCA-0-mean,Agg_Clustering,20,average,euclidean,0.3975966921520501
PCA-0-mean_AggClustering_nc:20_link:average_aff:l2,PCA-0-mean,Agg_Clustering,20,average,l2,0.3975966921520501
PCA-0-mean_AggClustering_nc:16_link:single_aff:l2,PCA-0-mean,Agg_Clustering,16,single,l2,0.3928064287096879
PCA-0-mean_AggClustering_nc:16_link:single_aff:euclidean,PCA-0-mean,Agg_Clustering,16,single,euclidean,0.3928064287096879
PCA-0-mean_AggClustering_nc:18_link:average_aff:euclidean,PCA-0-mean,Agg_Clustering,18,average,euclidean,0.39244908462429434
PCA-0-mean_AggClustering_nc:18_link:average_aff:l2,PCA-0-mean,Agg_Clustering,18,average,l2,0.39244908462429434
PCA-0-mean_AggClustering_nc:14_link:single_aff:cosine,PCA-0-mean,Agg_Clustering,14,single,cosine,0.39003434136782844
PCA-0-mean_AggClustering_nc:14_link:average_aff:euclidean,PCA-0-mean,Agg_Clustering,14,average,euclidean,0.38388211850291404
PCA-0-mean_AggClustering_nc:14_link:average_aff:l2,PCA-0-mean,Agg_Clustering,14,average,l2,0.38388211850291404
PCA-0-mean_AggClustering_nc:12_link:average_aff:l2,PCA-0-mean,Agg_Clustering,12,average,l2,0.37729993477950874
PCA-0-mean_AggClustering_nc:12_link:average_aff:euclidean,PCA-0-mean,Agg_Clustering,12,average,euclidean,0.37729993477950874
PCA-0-mean_AggClustering_nc:12_link:single_aff:cosine,PCA-0-mean,Agg_Clustering,12,single,cosine,0.37549357173550274
PCA-0-mean_AggClustering_nc:10_link:average_aff:l2,PCA-0-mean,Agg_Clustering,10,average,l2,0.3528798311057612
PCA-0-mean_AggClustering_nc:10_link:average_aff:euclidean,PCA-0-mean,Agg_Clustering,10,average,euclidean,0.3528798311057612
PCA-0-mean_AggClustering_nc:6_link:average_aff:cosine,PCA-0-mean,Agg_Clustering,6,average,cosine,0.3360498723070845
PCA-0-mean_AggClustering_nc:10_link:ward_aff:euclidean,PCA-0-mean,Agg_Clustering,10,ward,euclidean,0.33273613134497876
PCA-0-mean_AggClustering_nc:6_link:ward_aff:euclidean,PCA-0-mean,Agg_Clustering,6,ward,euclidean,0.33267547363513444
