Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
PCA-0-mean_DBSCAN_metric:l1_minPts:9,PCA-0-mean,DBScan,16,0.4213679804039216
PCA-0-mean_DBSCAN_metric:l1_minPts:10,PCA-0-mean,DBScan,16,0.4212586974369122
PCA-0-mean_DBSCAN_metric:l2_minPts:12,PCA-0-mean,DBScan,16,0.42122088952878667
PCA-0-mean_DBSCAN_metric:l1_minPts:11,PCA-0-mean,DBScan,16,0.42114460171900664
PCA-0-mean_DBSCAN_metric:l1_minPts:12,PCA-0-mean,DBScan,16,0.4210952781033683
PCA-0-mean_DBSCAN_metric:l2_minPts:9,PCA-0-mean,DBScan,16,0.4210777382153127
PCA-0-mean_DBSCAN_metric:l2_minPts:10,PCA-0-mean,DBScan,16,0.4210720153029396
PCA-0-mean_DBSCAN_metric:l2_minPts:11,PCA-0-mean,DBScan,16,0.42103323714777
PCA-0-mean_DBSCAN_metric:l1_minPts:16,PCA-0-mean,DBScan,16,0.4210191231420388
PCA-0-mean_DBSCAN_metric:l1_minPts:21,PCA-0-mean,DBScan,16,0.42100765208157687
PCA-0-mean_DBSCAN_metric:l1_minPts:14,PCA-0-mean,DBScan,16,0.4209979819315355
PCA-0-mean_DBSCAN_metric:l2_minPts:14,PCA-0-mean,DBScan,16,0.4207779348890092
PCA-0-mean_DBSCAN_metric:l1_minPts:26,PCA-0-mean,DBScan,16,0.42063041871170936
PCA-0-mean_DBSCAN_metric:l2_minPts:22,PCA-0-mean,DBScan,16,0.4205290238349982
PCA-0-mean_DBSCAN_metric:l2_minPts:19,PCA-0-mean,DBScan,16,0.4205049475650614
PCA-0-mean_DBSCAN_metric:l1_minPts:19,PCA-0-mean,DBScan,16,0.4204806829784655
PCA-0-mean_DBSCAN_metric:l1_minPts:22,PCA-0-mean,DBScan,16,0.42043196537991323
PCA-0-mean_DBSCAN_metric:l2_minPts:26,PCA-0-mean,DBScan,16,0.4204090861826392
PCA-0-mean_DBSCAN_metric:cosine_minPts:26,PCA-0-mean,DBScan,16,0.4200823470579342
PCA-0-mean_DBSCAN_metric:cosine_minPts:19,PCA-0-mean,DBScan,16,0.4200064235369507
