Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
PCA-no-label_AggClustering_nc:18_link:single_aff:cosine,PCA-no-label,Agg_Clustering,18,single,cosine,0.379431349680553
PCA-no-label_AggClustering_nc:18_link:single_aff:l2,PCA-no-label,Agg_Clustering,18,single,l2,0.379431349680553
PCA-no-label_AggClustering_nc:18_link:single_aff:euclidean,PCA-no-label,Agg_Clustering,18,single,euclidean,0.379431349680553
PCA-no-label_AggClustering_nc:16_link:average_aff:l2,PCA-no-label,Agg_Clustering,16,average,l2,0.3787721286516629
PCA-no-label_AggClustering_nc:16_link:average_aff:euclidean,PCA-no-label,Agg_Clustering,16,average,euclidean,0.3787721286516629
PCA-no-label_AggClustering_nc:20_link:single_aff:l2,PCA-no-label,Agg_Clustering,20,single,l2,0.37563401844182737
PCA-no-label_AggClustering_nc:20_link:single_aff:euclidean,PCA-no-label,Agg_Clustering,20,single,euclidean,0.37563401844182737
PCA-no-label_AggClustering_nc:14_link:average_aff:euclidean,PCA-no-label,Agg_Clustering,14,average,euclidean,0.3732126354315866
PCA-no-label_AggClustering_nc:14_link:average_aff:l2,PCA-no-label,Agg_Clustering,14,average,l2,0.3732126354315866
PCA-no-label_AggClustering_nc:20_link:single_aff:cosine,PCA-no-label,Agg_Clustering,20,single,cosine,0.3681350866627852
PCA-no-label_AggClustering_nc:12_link:average_aff:euclidean,PCA-no-label,Agg_Clustering,12,average,euclidean,0.36568137515553606
PCA-no-label_AggClustering_nc:12_link:average_aff:l2,PCA-no-label,Agg_Clustering,12,average,l2,0.36568137515553606
PCA-no-label_AggClustering_nc:10_link:average_aff:l2,PCA-no-label,Agg_Clustering,10,average,l2,0.359228704166084
PCA-no-label_AggClustering_nc:10_link:average_aff:euclidean,PCA-no-label,Agg_Clustering,10,average,euclidean,0.359228704166084
PCA-no-label_AggClustering_nc:16_link:single_aff:cosine,PCA-no-label,Agg_Clustering,16,single,cosine,0.35469602332930206
PCA-no-label_AggClustering_nc:18_link:average_aff:l2,PCA-no-label,Agg_Clustering,18,average,l2,0.3444604643586024
PCA-no-label_AggClustering_nc:18_link:average_aff:euclidean,PCA-no-label,Agg_Clustering,18,average,euclidean,0.3444604643586024
PCA-no-label_AggClustering_nc:14_link:single_aff:cosine,PCA-no-label,Agg_Clustering,14,single,cosine,0.34038278789567883
PCA-no-label_AggClustering_nc:20_link:average_aff:euclidean,PCA-no-label,Agg_Clustering,20,average,euclidean,0.3322798927657917
PCA-no-label_AggClustering_nc:20_link:average_aff:l2,PCA-no-label,Agg_Clustering,20,average,l2,0.3322798927657917
PCA-no-label_AggClustering_nc:10_link:ward_aff:euclidean,PCA-no-label,Agg_Clustering,10,ward,euclidean,0.3163024792925577
PCA-no-label_AggClustering_nc:20_link:average_aff:l1,PCA-no-label,Agg_Clustering,20,average,l1,0.3101435014333792
PCA-no-label_AggClustering_nc:20_link:average_aff:manhattan,PCA-no-label,Agg_Clustering,20,average,manhattan,0.3101435014333792
PCA-no-label_AggClustering_nc:14_link:ward_aff:euclidean,PCA-no-label,Agg_Clustering,14,ward,euclidean,0.30394258134938773
PCA-no-label_AggClustering_nc:16_link:average_aff:l1,PCA-no-label,Agg_Clustering,16,average,l1,0.30387027254927207
PCA-no-label_AggClustering_nc:16_link:average_aff:manhattan,PCA-no-label,Agg_Clustering,16,average,manhattan,0.30387027254927207
PCA-no-label_AggClustering_nc:16_link:ward_aff:euclidean,PCA-no-label,Agg_Clustering,16,ward,euclidean,0.30363780601669715
PCA-no-label_AggClustering_nc:12_link:ward_aff:euclidean,PCA-no-label,Agg_Clustering,12,ward,euclidean,0.3029053376984863
PCA-no-label_AggClustering_nc:6_link:average_aff:cosine,PCA-no-label,Agg_Clustering,6,average,cosine,0.30231820836879386
PCA-no-label_AggClustering_nc:20_link:average_aff:cosine,PCA-no-label,Agg_Clustering,20,average,cosine,0.3003309807303781
PCA-no-label_AggClustering_nc:16_link:average_aff:cosine,PCA-no-label,Agg_Clustering,16,average,cosine,0.30026516629901495
PCA-no-label_AggClustering_nc:18_link:average_aff:cosine,PCA-no-label,Agg_Clustering,18,average,cosine,0.2996328900595905
PCA-no-label_AggClustering_nc:18_link:average_aff:l1,PCA-no-label,Agg_Clustering,18,average,l1,0.29778966584898103
PCA-no-label_AggClustering_nc:18_link:average_aff:manhattan,PCA-no-label,Agg_Clustering,18,average,manhattan,0.29778966584898103
PCA-no-label_AggClustering_nc:8_link:average_aff:l2,PCA-no-label,Agg_Clustering,8,average,l2,0.29346634619608086
PCA-no-label_AggClustering_nc:8_link:average_aff:euclidean,PCA-no-label,Agg_Clustering,8,average,euclidean,0.29346634619608086
PCA-no-label_AggClustering_nc:6_link:ward_aff:euclidean,PCA-no-label,Agg_Clustering,6,ward,euclidean,0.29307397185686374
PCA-no-label_AggClustering_nc:10_link:average_aff:cosine,PCA-no-label,Agg_Clustering,10,average,cosine,0.29305347735876436
PCA-no-label_AggClustering_nc:18_link:ward_aff:euclidean,PCA-no-label,Agg_Clustering,18,ward,euclidean,0.292232495780706
PCA-no-label_AggClustering_nc:12_link:single_aff:cosine,PCA-no-label,Agg_Clustering,12,single,cosine,0.28741725116650507
PCA-no-label_AggClustering_nc:12_link:average_aff:cosine,PCA-no-label,Agg_Clustering,12,average,cosine,0.28695658591399525
PCA-no-label_AggClustering_nc:20_link:ward_aff:euclidean,PCA-no-label,Agg_Clustering,20,ward,euclidean,0.2850716128716409
PCA-no-label_AggClustering_nc:14_link:average_aff:cosine,PCA-no-label,Agg_Clustering,14,average,cosine,0.27752038113706384
PCA-no-label_AggClustering_nc:10_link:single_aff:cosine,PCA-no-label,Agg_Clustering,10,single,cosine,0.2765696149730404
