Title,Embeddings,Algorithm,Num Clusters,Metric,MinPts,NumNoise,Silhouette Score
PCA-no-label_DBSCAN_metric:cosine_minPts:18,PCA-no-label,DBScan,15,cosine,18,134,0.3812601480099019
PCA-no-label_DBSCAN_metric:l2_minPts:24,PCA-no-label,DBScan,14,l2,24,107,0.38112404699747066
PCA-no-label_DBSCAN_metric:cosine_minPts:17,PCA-no-label,DBScan,15,cosine,17,80,0.3809615742045372
PCA-no-label_DBSCAN_metric:cosine_minPts:21,PCA-no-label,DBScan,15,cosine,21,80,0.3808155751146858
PCA-no-label_DBSCAN_metric:correlation_minPts:7,PCA-no-label,DBScan,17,correlation,7,86,0.38074957829508704
PCA-no-label_DBSCAN_metric:cosine_minPts:7,PCA-no-label,DBScan,17,cosine,7,98,0.3806385431857393
PCA-no-label_DBSCAN_metric:cosine_minPts:15,PCA-no-label,DBScan,16,cosine,15,60,0.38063502169024105
PCA-no-label_DBSCAN_metric:cosine_minPts:19,PCA-no-label,DBScan,15,cosine,19,72,0.38057236912748516
PCA-no-label_DBSCAN_metric:correlation_minPts:10,PCA-no-label,DBScan,17,correlation,10,70,0.38054214088778693
PCA-no-label_DBSCAN_metric:correlation_minPts:17,PCA-no-label,DBScan,15,correlation,17,74,0.3805359398011718
PCA-no-label_DBSCAN_metric:correlation_minPts:18,PCA-no-label,DBScan,15,correlation,18,73,0.38050379571795606
PCA-no-label_DBSCAN_metric:cosine_minPts:24,PCA-no-label,DBScan,15,cosine,24,66,0.380470477042048
PCA-no-label_DBSCAN_metric:cosine_minPts:25,PCA-no-label,DBScan,15,cosine,25,71,0.38043996590028706
PCA-no-label_DBSCAN_metric:correlation_minPts:25,PCA-no-label,DBScan,15,correlation,25,68,0.38042561235535804
PCA-no-label_DBSCAN_metric:correlation_minPts:19,PCA-no-label,DBScan,15,correlation,19,65,0.3804242086421779
PCA-no-label_DBSCAN_metric:cosine_minPts:10,PCA-no-label,DBScan,17,cosine,10,55,0.3804062615665549
PCA-no-label_DBSCAN_metric:correlation_minPts:21,PCA-no-label,DBScan,15,correlation,21,73,0.3804009557989495
PCA-no-label_DBSCAN_metric:correlation_minPts:24,PCA-no-label,DBScan,15,correlation,24,66,0.3803724535408881
PCA-no-label_DBSCAN_metric:correlation_minPts:15,PCA-no-label,DBScan,16,correlation,15,65,0.38027897858740495
PCA-no-label_DBSCAN_metric:l1_minPts:10,PCA-no-label,DBScan,16,l1,10,86,0.3802601642019649
PCA-no-label_DBSCAN_metric:correlation_minPts:11,PCA-no-label,DBScan,17,correlation,11,88,0.3802263744618705
PCA-no-label_DBSCAN_metric:l1_minPts:11,PCA-no-label,DBScan,15,l1,11,152,0.38020448987826466
PCA-no-label_DBSCAN_metric:l1_minPts:15,PCA-no-label,DBScan,15,l1,15,94,0.380123725800415
PCA-no-label_DBSCAN_metric:l2_minPts:11,PCA-no-label,DBScan,15,l2,11,105,0.38009292621704677
PCA-no-label_DBSCAN_metric:cosine_minPts:11,PCA-no-label,DBScan,17,cosine,11,89,0.38004007528178524
PCA-no-label_DBSCAN_metric:l1_minPts:24,PCA-no-label,DBScan,15,l1,24,74,0.37996065219237424
PCA-no-label_DBSCAN_metric:l2_minPts:18,PCA-no-label,DBScan,15,l2,18,79,0.3799514116876873
PCA-no-label_DBSCAN_metric:l2_minPts:17,PCA-no-label,DBScan,15,l2,17,83,0.3798404277120359
PCA-no-label_DBSCAN_metric:l1_minPts:17,PCA-no-label,DBScan,15,l1,17,108,0.37982131370495986
PCA-no-label_DBSCAN_metric:l1_minPts:25,PCA-no-label,DBScan,15,l1,25,76,0.37977310655192437
PCA-no-label_DBSCAN_metric:l2_minPts:25,PCA-no-label,DBScan,15,l2,25,73,0.379746609367202
PCA-no-label_DBSCAN_metric:l2_minPts:15,PCA-no-label,DBScan,15,l2,15,90,0.3797230008634821
PCA-no-label_DBSCAN_metric:l1_minPts:18,PCA-no-label,DBScan,15,l1,18,95,0.3797201656871714
PCA-no-label_DBSCAN_metric:l2_minPts:10,PCA-no-label,DBScan,16,l2,10,86,0.37970426810948665
PCA-no-label_DBSCAN_metric:l2_minPts:21,PCA-no-label,DBScan,15,l2,21,87,0.37963047594569355
PCA-no-label_DBSCAN_metric:l1_minPts:21,PCA-no-label,DBScan,15,l1,21,92,0.3796052875616058
PCA-no-label_DBSCAN_metric:l2_minPts:7,PCA-no-label,DBScan,17,l2,7,93,0.3795275211888849
PCA-no-label_DBSCAN_metric:l2_minPts:19,PCA-no-label,DBScan,15,l2,19,100,0.3794066685249145
PCA-no-label_DBSCAN_metric:l1_minPts:19,PCA-no-label,DBScan,3,l1,19,5308,0.3782074472213263
PCA-no-label_DBSCAN_metric:l1_minPts:7,PCA-no-label,DBScan,17,l1,7,160,0.37693724739711565
