Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
PCA-no-label_DBSCAN_metric:cosine_minPts:18,PCA-no-label,DBScan,15,0.3812601480099019
PCA-no-label_DBSCAN_metric:l2_minPts:24,PCA-no-label,DBScan,14,0.38112404699747066
PCA-no-label_DBSCAN_metric:cosine_minPts:17,PCA-no-label,DBScan,15,0.3809615742045372
PCA-no-label_DBSCAN_metric:cosine_minPts:21,PCA-no-label,DBScan,15,0.3808155751146858
PCA-no-label_DBSCAN_metric:correlation_minPts:7,PCA-no-label,DBScan,17,0.38074957829508704
PCA-no-label_DBSCAN_metric:cosine_minPts:7,PCA-no-label,DBScan,17,0.3806385431857393
PCA-no-label_DBSCAN_metric:cosine_minPts:15,PCA-no-label,DBScan,16,0.38063502169024105
PCA-no-label_DBSCAN_metric:cosine_minPts:19,PCA-no-label,DBScan,15,0.38057236912748516
PCA-no-label_DBSCAN_metric:correlation_minPts:10,PCA-no-label,DBScan,17,0.38054214088778693
PCA-no-label_DBSCAN_metric:correlation_minPts:17,PCA-no-label,DBScan,15,0.3805359398011718
PCA-no-label_DBSCAN_metric:correlation_minPts:18,PCA-no-label,DBScan,15,0.38050379571795606
PCA-no-label_DBSCAN_metric:cosine_minPts:24,PCA-no-label,DBScan,15,0.380470477042048
PCA-no-label_DBSCAN_metric:cosine_minPts:25,PCA-no-label,DBScan,15,0.38043996590028706
PCA-no-label_DBSCAN_metric:correlation_minPts:25,PCA-no-label,DBScan,15,0.38042561235535804
PCA-no-label_DBSCAN_metric:correlation_minPts:19,PCA-no-label,DBScan,15,0.3804242086421779
PCA-no-label_DBSCAN_metric:cosine_minPts:10,PCA-no-label,DBScan,17,0.3804062615665549
PCA-no-label_DBSCAN_metric:correlation_minPts:21,PCA-no-label,DBScan,15,0.3804009557989495
PCA-no-label_DBSCAN_metric:correlation_minPts:24,PCA-no-label,DBScan,15,0.3803724535408881
PCA-no-label_DBSCAN_metric:correlation_minPts:15,PCA-no-label,DBScan,16,0.38027897858740495
PCA-no-label_DBSCAN_metric:l1_minPts:10,PCA-no-label,DBScan,16,0.3802601642019649
