Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
PCA-with-label_AggClustering_nc:18_link:single_aff:l2,PCA-with-label,Agg_Clustering,18,single,l2,0.3267511718983783
PCA-with-label_AggClustering_nc:20_link:single_aff:l2,PCA-with-label,Agg_Clustering,20,single,l2,0.3218798798202139
PCA-with-label_AggClustering_nc:20_link:single_aff:cosine,PCA-with-label,Agg_Clustering,20,single,cosine,0.3058405648545507
PCA-with-label_AggClustering_nc:14_link:average_aff:l2,PCA-with-label,Agg_Clustering,14,average,l2,0.3030026518793133
PCA-with-label_AggClustering_nc:16_link:single_aff:l2,PCA-with-label,Agg_Clustering,16,single,l2,0.300701258444289
PCA-with-label_AggClustering_nc:20_link:average_aff:l2,PCA-with-label,Agg_Clustering,20,average,l2,0.29955877481556004
PCA-with-label_AggClustering_nc:18_link:average_aff:l2,PCA-with-label,Agg_Clustering,18,average,l2,0.2987928097145286
PCA-with-label_AggClustering_nc:16_link:average_aff:l2,PCA-with-label,Agg_Clustering,16,average,l2,0.2955616684472557
PCA-with-label_AggClustering_nc:20_link:average_aff:l1,PCA-with-label,Agg_Clustering,20,average,l1,0.28784495248044395
PCA-with-label_AggClustering_nc:18_link:average_aff:l1,PCA-with-label,Agg_Clustering,18,average,l1,0.2832830605761724
PCA-with-label_AggClustering_nc:12_link:average_aff:l2,PCA-with-label,Agg_Clustering,12,average,l2,0.28229225034718736
PCA-with-label_AggClustering_nc:20_link:average_aff:cosine,PCA-with-label,Agg_Clustering,20,average,cosine,0.2820828348112409
PCA-with-label_AggClustering_nc:18_link:average_aff:cosine,PCA-with-label,Agg_Clustering,18,average,cosine,0.28051560560801203
PCA-with-label_AggClustering_nc:14_link:average_aff:cosine,PCA-with-label,Agg_Clustering,14,average,cosine,0.2756202187480302
PCA-with-label_AggClustering_nc:16_link:average_aff:cosine,PCA-with-label,Agg_Clustering,16,average,cosine,0.2731511720428981
PCA-with-label_AggClustering_nc:12_link:average_aff:cosine,PCA-with-label,Agg_Clustering,12,average,cosine,0.26786263707886365
PCA-with-label_AggClustering_nc:16_link:average_aff:l1,PCA-with-label,Agg_Clustering,16,average,l1,0.260657116088948
PCA-with-label_AggClustering_nc:18_link:single_aff:cosine,PCA-with-label,Agg_Clustering,18,single,cosine,0.2517265895890957
PCA-with-label_AggClustering_nc:10_link:average_aff:cosine,PCA-with-label,Agg_Clustering,10,average,cosine,0.2490136915652749
PCA-with-label_AggClustering_nc:10_link:average_aff:l2,PCA-with-label,Agg_Clustering,10,average,l2,0.2355370976082969
PCA-with-label_AggClustering_nc:16_link:single_aff:cosine,PCA-with-label,Agg_Clustering,16,single,cosine,0.234121609411354
PCA-with-label_AggClustering_nc:20_link:single_aff:l1,PCA-with-label,Agg_Clustering,20,single,l1,0.22831161608637046
PCA-with-label_AggClustering_nc:8_link:average_aff:cosine,PCA-with-label,Agg_Clustering,8,average,cosine,0.22391552454026645
PCA-with-label_AggClustering_nc:14_link:single_aff:l2,PCA-with-label,Agg_Clustering,14,single,l2,0.22225212557943508
PCA-with-label_AggClustering_nc:12_link:single_aff:l1,PCA-with-label,Agg_Clustering,12,single,l1,0.22131537549578176
PCA-with-label_AggClustering_nc:8_link:average_aff:l2,PCA-with-label,Agg_Clustering,8,average,l2,0.21830699904079298
PCA-with-label_AggClustering_nc:20_link:complete_aff:l1,PCA-with-label,Agg_Clustering,20,complete,l1,0.2175695024636045
PCA-with-label_AggClustering_nc:6_link:average_aff:cosine,PCA-with-label,Agg_Clustering,6,average,cosine,0.2172375075977506
PCA-with-label_AggClustering_nc:18_link:complete_aff:cosine,PCA-with-label,Agg_Clustering,18,complete,cosine,0.2085204989165703
PCA-with-label_AggClustering_nc:18_link:complete_aff:l1,PCA-with-label,Agg_Clustering,18,complete,l1,0.20469214936423966
PCA-with-label_AggClustering_nc:6_link:average_aff:l2,PCA-with-label,Agg_Clustering,6,average,l2,0.20174569979203208
PCA-with-label_AggClustering_nc:12_link:single_aff:l2,PCA-with-label,Agg_Clustering,12,single,l2,0.20128392117696814
PCA-with-label_AggClustering_nc:14_link:complete_aff:l1,PCA-with-label,Agg_Clustering,14,complete,l1,0.20094854587570016
PCA-with-label_AggClustering_nc:10_link:single_aff:l2,PCA-with-label,Agg_Clustering,10,single,l2,0.1982357466312287
PCA-with-label_AggClustering_nc:16_link:complete_aff:l1,PCA-with-label,Agg_Clustering,16,complete,l1,0.1980709198779122
PCA-with-label_AggClustering_nc:20_link:complete_aff:cosine,PCA-with-label,Agg_Clustering,20,complete,cosine,0.1969582570441296
PCA-with-label_AggClustering_nc:8_link:average_aff:l1,PCA-with-label,Agg_Clustering,8,average,l1,0.19644045517772213
PCA-with-label_AggClustering_nc:14_link:single_aff:l1,PCA-with-label,Agg_Clustering,14,single,l1,0.19580890891053196
PCA-with-label_AggClustering_nc:8_link:complete_aff:cosine,PCA-with-label,Agg_Clustering,8,complete,cosine,0.18906446216156947
PCA-with-label_AggClustering_nc:18_link:single_aff:l1,PCA-with-label,Agg_Clustering,18,single,l1,0.18700873106840946
PCA-with-label_AggClustering_nc:10_link:complete_aff:l1,PCA-with-label,Agg_Clustering,10,complete,l1,0.18649288656818608
PCA-with-label_AggClustering_nc:16_link:single_aff:l1,PCA-with-label,Agg_Clustering,16,single,l1,0.18415251781281
PCA-with-label_AggClustering_nc:16_link:complete_aff:cosine,PCA-with-label,Agg_Clustering,16,complete,cosine,0.1814719305485982
PCA-with-label_AggClustering_nc:14_link:average_aff:l1,PCA-with-label,Agg_Clustering,14,average,l1,0.17914261158598616
PCA-with-label_AggClustering_nc:8_link:single_aff:l2,PCA-with-label,Agg_Clustering,8,single,l2,0.17761256521980176
PCA-with-label_AggClustering_nc:12_link:complete_aff:l1,PCA-with-label,Agg_Clustering,12,complete,l1,0.17614697311884467
PCA-with-label_AggClustering_nc:8_link:complete_aff:l1,PCA-with-label,Agg_Clustering,8,complete,l1,0.17566702772512618
PCA-with-label_AggClustering_nc:10_link:complete_aff:cosine,PCA-with-label,Agg_Clustering,10,complete,cosine,0.17344854524379796
PCA-with-label_AggClustering_nc:10_link:average_aff:l1,PCA-with-label,Agg_Clustering,10,average,l1,0.16970302600796414
PCA-with-label_AggClustering_nc:14_link:complete_aff:cosine,PCA-with-label,Agg_Clustering,14,complete,cosine,0.1677737974238704
PCA-with-label_AggClustering_nc:12_link:complete_aff:cosine,PCA-with-label,Agg_Clustering,12,complete,cosine,0.16618386956585934
PCA-with-label_AggClustering_nc:6_link:average_aff:l1,PCA-with-label,Agg_Clustering,6,average,l1,0.1640217831313957
PCA-with-label_AggClustering_nc:14_link:single_aff:cosine,PCA-with-label,Agg_Clustering,14,single,cosine,0.16271343942487232
PCA-with-label_AggClustering_nc:6_link:single_aff:l1,PCA-with-label,Agg_Clustering,6,single,l1,0.16150804898943116
PCA-with-label_AggClustering_nc:12_link:average_aff:l1,PCA-with-label,Agg_Clustering,12,average,l1,0.14567855427601425
