Title,Embeddings,Algorithm,Num Clusters,Metric,MinPts,NumNoise,Silhouette Score
PCA-with-label_DBSCAN_metric:cosine_minPts:17,PCA-with-label,DBScan,15,cosine,17,138,0.3291563472803457
PCA-with-label_DBSCAN_metric:cosine_minPts:19,PCA-with-label,DBScan,15,cosine,19,118,0.32896572419243186
PCA-with-label_DBSCAN_metric:cosine_minPts:15,PCA-with-label,DBScan,15,cosine,15,129,0.3289387845327228
PCA-with-label_DBSCAN_metric:cosine_minPts:20,PCA-with-label,DBScan,15,cosine,20,109,0.3285952107279611
PCA-with-label_DBSCAN_metric:l1_minPts:23,PCA-with-label,DBScan,14,l1,23,117,0.32858724550975876
PCA-with-label_DBSCAN_metric:l1_minPts:24,PCA-with-label,DBScan,14,l1,24,117,0.32858724550975876
PCA-with-label_DBSCAN_metric:correlation_minPts:21,PCA-with-label,DBScan,15,correlation,21,115,0.32850079618375355
PCA-with-label_DBSCAN_metric:l2_minPts:23,PCA-with-label,DBScan,14,l2,23,121,0.32848119891135336
PCA-with-label_DBSCAN_metric:euclidean_minPts:23,PCA-with-label,DBScan,14,euclidean,23,121,0.32848119891135336
PCA-with-label_DBSCAN_metric:correlation_minPts:17,PCA-with-label,DBScan,15,correlation,17,98,0.3283948315419885
PCA-with-label_DBSCAN_metric:euclidean_minPts:25,PCA-with-label,DBScan,14,euclidean,25,130,0.32823503680869587
PCA-with-label_DBSCAN_metric:l2_minPts:25,PCA-with-label,DBScan,14,l2,25,130,0.32823503680869587
PCA-with-label_DBSCAN_metric:cosine_minPts:16,PCA-with-label,DBScan,15,cosine,16,109,0.328223685906876
PCA-with-label_DBSCAN_metric:l2_minPts:22,PCA-with-label,DBScan,14,l2,22,126,0.32818744592751486
PCA-with-label_DBSCAN_metric:euclidean_minPts:22,PCA-with-label,DBScan,14,euclidean,22,126,0.32818744592751486
PCA-with-label_DBSCAN_metric:correlation_minPts:16,PCA-with-label,DBScan,15,correlation,16,116,0.3281324126024617
PCA-with-label_DBSCAN_metric:l1_minPts:22,PCA-with-label,DBScan,14,l1,22,136,0.3280095608258749
PCA-with-label_DBSCAN_metric:correlation_minPts:20,PCA-with-label,DBScan,15,correlation,20,90,0.32800040865703606
PCA-with-label_DBSCAN_metric:correlation_minPts:22,PCA-with-label,DBScan,15,correlation,22,74,0.3279990068490524
PCA-with-label_DBSCAN_metric:correlation_minPts:23,PCA-with-label,DBScan,15,correlation,23,112,0.3278874375068658
PCA-with-label_DBSCAN_metric:cosine_minPts:24,PCA-with-label,DBScan,15,cosine,24,73,0.32786901690585957
PCA-with-label_DBSCAN_metric:correlation_minPts:24,PCA-with-label,DBScan,15,correlation,24,75,0.32786129061426816
PCA-with-label_DBSCAN_metric:cosine_minPts:25,PCA-with-label,DBScan,15,cosine,25,67,0.32774659201405315
PCA-with-label_DBSCAN_metric:cosine_minPts:21,PCA-with-label,DBScan,15,cosine,21,72,0.327733429939316
PCA-with-label_DBSCAN_metric:cosine_minPts:22,PCA-with-label,DBScan,15,cosine,22,70,0.3276832691358811
PCA-with-label_DBSCAN_metric:cosine_minPts:23,PCA-with-label,DBScan,15,cosine,23,70,0.3276832691358811
PCA-with-label_DBSCAN_metric:correlation_minPts:15,PCA-with-label,DBScan,15,correlation,15,85,0.32757143719255677
PCA-with-label_DBSCAN_metric:correlation_minPts:19,PCA-with-label,DBScan,15,correlation,19,81,0.3273709047000374
PCA-with-label_DBSCAN_metric:euclidean_minPts:15,PCA-with-label,DBScan,15,euclidean,15,95,0.3265741968013702
PCA-with-label_DBSCAN_metric:l2_minPts:15,PCA-with-label,DBScan,15,l2,15,95,0.3265741968013702
PCA-with-label_DBSCAN_metric:l2_minPts:16,PCA-with-label,DBScan,15,l2,16,91,0.3264764438311681
PCA-with-label_DBSCAN_metric:euclidean_minPts:16,PCA-with-label,DBScan,15,euclidean,16,91,0.3264764438311681
PCA-with-label_DBSCAN_metric:euclidean_minPts:24,PCA-with-label,DBScan,15,euclidean,24,76,0.32636184274336777
PCA-with-label_DBSCAN_metric:l2_minPts:24,PCA-with-label,DBScan,15,l2,24,76,0.32636184274336777
PCA-with-label_DBSCAN_metric:l2_minPts:21,PCA-with-label,DBScan,15,l2,21,86,0.3262433055564214
PCA-with-label_DBSCAN_metric:euclidean_minPts:21,PCA-with-label,DBScan,15,euclidean,21,86,0.3262433055564214
PCA-with-label_DBSCAN_metric:l1_minPts:19,PCA-with-label,DBScan,15,l1,19,84,0.32622769807537516
PCA-with-label_DBSCAN_metric:euclidean_minPts:19,PCA-with-label,DBScan,15,euclidean,19,91,0.3261810361415218
PCA-with-label_DBSCAN_metric:l2_minPts:19,PCA-with-label,DBScan,15,l2,19,91,0.3261810361415218
PCA-with-label_DBSCAN_metric:l1_minPts:20,PCA-with-label,DBScan,15,l1,20,91,0.32616881750637294
PCA-with-label_DBSCAN_metric:l1_minPts:17,PCA-with-label,DBScan,15,l1,17,92,0.3260675486796664
PCA-with-label_DBSCAN_metric:l1_minPts:16,PCA-with-label,DBScan,15,l1,16,93,0.3260562200096998
PCA-with-label_DBSCAN_metric:l1_minPts:15,PCA-with-label,DBScan,15,l1,15,121,0.3257281644089336
PCA-with-label_DBSCAN_metric:euclidean_minPts:17,PCA-with-label,DBScan,15,euclidean,17,109,0.32557719798838736
PCA-with-label_DBSCAN_metric:l2_minPts:17,PCA-with-label,DBScan,15,l2,17,109,0.32557719798838736
PCA-with-label_DBSCAN_metric:l1_minPts:21,PCA-with-label,DBScan,15,l1,21,110,0.32536139510216233
