Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
PCA-with-label_DBSCAN_metric:cosine_minPts:17,PCA-with-label,DBScan,15,0.3291563472803457
PCA-with-label_DBSCAN_metric:cosine_minPts:19,PCA-with-label,DBScan,15,0.32896572419243186
PCA-with-label_DBSCAN_metric:cosine_minPts:15,PCA-with-label,DBScan,15,0.3289387845327228
PCA-with-label_DBSCAN_metric:correlation_minPts:17,PCA-with-label,DBScan,15,0.3283948315419885
PCA-with-label_KMeans_nc:14,PCA-with-label,KMeans,14,0.3280381236141049
PCA-with-label_KMeans_nc:16,PCA-with-label,KMeans,16,0.3276380964198468
PCA-with-label_DBSCAN_metric:correlation_minPts:15,PCA-with-label,DBScan,15,0.32757143719255677
PCA-with-label_DBSCAN_metric:correlation_minPts:19,PCA-with-label,DBScan,15,0.3273709047000374
PCA-with-label_DBSCAN_metric:cosine_minPts:12,PCA-with-label,DBScan,16,0.32712217100401975
PCA-with-label_DBSCAN_metric:cosine_minPts:14,PCA-with-label,DBScan,16,0.32710158974452885
PCA-with-label_AggClustering_nc:18_link:single_aff:l2,PCA-with-label,Agg_Clustering,18,0.3267511718983783
PCA-with-label_DBSCAN_metric:l2_minPts:14,PCA-with-label,DBScan,15,0.3267178819396941
PCA-with-label_DBSCAN_metric:l2_minPts:13,PCA-with-label,DBScan,15,0.3266564461673444
PCA-with-label_DBSCAN_metric:l2_minPts:12,PCA-with-label,DBScan,15,0.3266490118455341
PCA-with-label_DBSCAN_metric:l2_minPts:15,PCA-with-label,DBScan,15,0.3265741968013702
PCA-with-label_DBSCAN_metric:l1_minPts:11,PCA-with-label,DBScan,15,0.326326142499763
PCA-with-label_DBSCAN_metric:l1_minPts:19,PCA-with-label,DBScan,15,0.32622769807537516
PCA-with-label_DBSCAN_metric:l2_minPts:19,PCA-with-label,DBScan,15,0.3261810361415218
PCA-with-label_DBSCAN_metric:l1_minPts:6,PCA-with-label,DBScan,16,0.32608411332892884
PCA-with-label_DBSCAN_metric:l1_minPts:17,PCA-with-label,DBScan,15,0.3260675486796664
